,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2017.0,Manchester City,Sergio Agüero,F,25.0,1985.0,21.0,6.0,4.31,1.77,18.57,-2.43,6.53,0.53,0.84,0.3
1,0,2017.0,Manchester City,Raheem Sterling,F,33.0,2594.0,18.0,11.0,3.02,1.91,18.83,0.83,8.84,-2.16,0.65,0.31
2,0,2017.0,Manchester City,Gabriel Jesus,F,29.0,1692.0,13.0,3.0,2.93,0.96,15.37,2.37,2.31,-0.69,0.82,0.12
3,0,2017.0,Manchester City,Leroy Sané,D F M,32.0,2421.0,10.0,15.0,2.08,2.16,6.24,-3.76,9.05,-5.95,0.23,0.34
4,0,2017.0,Manchester City,David Silva,M,29.0,2442.0,9.0,11.0,1.99,2.25,9.24,0.24,8.83,-2.17,0.34,0.33
5,0,2017.0,Manchester City,Kevin De Bruyne,M,37.0,3103.0,8.0,16.0,2.7,3.05,5.4,-2.6,13.1,-2.9,0.16,0.38
6,0,2017.0,Manchester City,Bernardo Silva,F,35.0,1500.0,6.0,4.0,1.5,1.8,4.53,-1.47,3.06,-0.94,0.27,0.18
7,0,2017.0,Manchester City,Fernandinho,M,34.0,2890.0,5.0,3.0,1.46,0.65,2.47,-2.53,2.84,-0.16,0.08,0.09
8,0,2017.0,Manchester City,Ilkay Gündogan,M,30.0,1504.0,4.0,1.0,2.09,1.26,3.58,-0.42,2.35,1.35,0.21,0.14
9,0,2017.0,Manchester City,Nicolás Otamendi,D,34.0,2975.0,4.0,0.0,0.97,0.36,3.19,-0.81,1.16,1.16,0.1,0.04
10,0,2017.0,Manchester City,Danilo,D M,23.0,1338.0,3.0,2.0,1.28,0.34,1.25,-1.75,0.19,-1.81,0.08,0.01
11,0,2017.0,Manchester City,Vincent Kompany,D,17.0,1401.0,1.0,1.0,0.58,0.26,1.02,0.02,0.41,-0.59,0.07,0.03
12,0,2017.0,Manchester City,Fabian Delph,D M,22.0,1747.0,1.0,2.0,0.52,0.57,0.2,-0.8,1.31,-0.69,0.01,0.07
13,0,2017.0,Manchester City,John Stones,D,18.0,1310.0,0.0,0.0,0.76,0.0,1.33,1.33,0.0,0.0,0.09,0.0
14,0,2017.0,Manchester City,Eliaquim Mangala,D,9.0,471.0,0.0,0.0,0.19,0.19,0.08,0.08,0.02,0.02,0.02,0.0
15,0,2017.0,Manchester City,Kyle Walker,D M,32.0,2792.0,0.0,6.0,0.42,0.97,0.72,0.72,4.84,-1.16,0.02,0.16
16,0,2017.0,Manchester City,Yaya Touré,M,10.0,209.0,0.0,2.0,2.15,3.01,0.36,0.36,0.78,-1.22,0.15,0.34
17,0,2017.0,Manchester City,Claudio Bravo,GK,3.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,2017.0,Manchester City,Aymeric Laporte,D,9.0,808.0,0.0,0.0,0.33,0.22,0.08,0.08,0.14,0.14,0.01,0.02
19,0,2017.0,Manchester City,Oleksandr Zinchenko,D,8.0,534.0,0.0,0.0,0.84,1.35,0.09,0.09,0.35,0.35,0.02,0.06
20,0,2017.0,Manchester City,Benjamin Mendy,D M,7.0,357.0,0.0,1.0,1.26,2.27,0.12,0.12,0.96,-0.04,0.03,0.24
21,0,2017.0,Manchester City,Ederson,GK,36.0,3195.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0
22,0,2017.0,Manchester City,Phil Foden,S,5.0,41.0,0.0,1.0,0.0,4.39,0.0,0.0,0.49,-0.51,0.0,1.07
23,0,2017.0,Manchester City,Brahim Diaz,S,5.0,40.0,0.0,0.0,6.75,0.0,0.49,0.49,0.0,0.0,1.11,0.0
24,0,2017.0,Manchester City,Lukas Nmecha,S,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2017.0,Manchester United,Romelu Lukaku,F,34.0,2869.0,16.0,7.0,2.7,1.04,15.47,-0.53,5.47,-1.53,0.49,0.17
26,0,2017.0,Manchester United,Anthony Martial,F M,30.0,1589.0,9.0,5.0,2.78,1.87,6.3,-2.7,5.44,0.44,0.36,0.31
27,0,2017.0,Manchester United,Jesse Lingard,F M,33.0,1836.0,8.0,5.0,2.75,1.27,8.05,0.05,3.58,-1.42,0.39,0.18
28,0,2017.0,Manchester United,Marcus Rashford,F M,35.0,1792.0,7.0,5.0,3.11,1.1,5.53,-1.47,4.6,-0.4,0.28,0.23
29,0,2017.0,Manchester United,Paul Pogba,M,27.0,2158.0,6.0,10.0,3.17,1.63,7.81,1.81,4.59,-5.41,0.33,0.19
30,0,2017.0,Manchester United,Chris Smalling,D,29.0,2533.0,4.0,0.0,0.46,0.07,2.17,-1.83,0.18,0.18,0.08,0.01
31,0,2017.0,Manchester United,Marouane Fellaini,M,16.0,601.0,4.0,0.0,1.5,0.75,2.73,-1.27,0.16,0.16,0.41,0.02
32,0,2017.0,Manchester United,Juan Mata,F M,28.0,1942.0,3.0,5.0,1.3,2.36,3.81,0.81,4.73,-0.27,0.18,0.22
33,0,2017.0,Manchester United,Antonio Valencia,D M,31.0,2746.0,3.0,1.0,0.52,0.75,0.54,-2.46,1.46,0.46,0.02,0.05
34,0,2017.0,Manchester United,Alexis Sánchez,F M,12.0,1053.0,2.0,3.0,1.62,2.22,3.26,1.26,2.47,-0.53,0.28,0.21
35,0,2017.0,Manchester United,Ashley Young,D M,30.0,2451.0,2.0,4.0,0.66,0.99,0.71,-1.29,3.75,-0.25,0.03,0.14
