,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2014.0,Chelsea,38.0,26.0,9.0,3.0,73.0,32.0,87.0,68.64,-4.36,31.52,-0.48,75.32,-11.68
1,0,2014.0,Manchester City,38.0,24.0,7.0,7.0,83.0,38.0,79.0,75.82,-7.18,40.5,2.5,73.1,-5.9
2,0,2014.0,Arsenal,38.0,22.0,9.0,7.0,71.0,36.0,75.0,69.8,-1.2,35.72,-0.28,75.17,0.17
3,0,2014.0,Manchester United,38.0,20.0,10.0,8.0,62.0,37.0,70.0,54.21,-7.79,39.84,2.84,63.03,-6.97
4,0,2014.0,Tottenham,38.0,19.0,7.0,12.0,58.0,53.0,64.0,52.39,-5.61,57.04,4.04,48.94,-15.06
5,0,2014.0,Liverpool,38.0,18.0,8.0,12.0,52.0,48.0,62.0,51.7,-0.3,38.25,-9.75,61.17,-0.83
6,0,2014.0,Southampton,38.0,18.0,6.0,14.0,54.0,33.0,60.0,54.97,0.97,39.11,6.11,62.82,2.82
7,0,2014.0,Swansea,38.0,16.0,8.0,14.0,46.0,49.0,56.0,40.9,-5.1,55.94,6.94,43.32,-12.68
8,0,2014.0,Stoke,38.0,15.0,9.0,14.0,48.0,45.0,54.0,46.26,-1.74,47.03,2.03,51.97,-2.03
9,0,2014.0,Crystal Palace,38.0,13.0,9.0,16.0,47.0,51.0,48.0,44.76,-2.24,45.48,-5.52,50.56,2.56
10,0,2014.0,Everton,38.0,12.0,11.0,15.0,48.0,50.0,47.0,44.89,-3.11,46.18,-3.82,50.91,3.91
11,0,2014.0,West Ham,38.0,12.0,11.0,15.0,44.0,47.0,47.0,46.69,2.69,57.4,10.4,47.22,0.22
12,0,2014.0,West Bromwich Albion,38.0,11.0,11.0,16.0,38.0,51.0,44.0,38.63,0.63,53.75,2.75,44.74,0.74
13,0,2014.0,Leicester,38.0,11.0,8.0,19.0,46.0,55.0,41.0,48.21,2.21,56.39,1.39,44.64,3.64
14,0,2014.0,Newcastle United,38.0,10.0,9.0,19.0,40.0,63.0,39.0,40.22,0.22,51.01,-11.99,45.63,6.63
15,0,2014.0,Sunderland,38.0,7.0,17.0,14.0,31.0,53.0,38.0,37.45,6.45,51.46,-1.54,44.18,6.18
16,0,2014.0,Aston Villa,38.0,10.0,8.0,20.0,31.0,57.0,38.0,33.1,2.1,49.71,-7.29,40.89,2.89
17,0,2014.0,Hull,38.0,8.0,11.0,19.0,33.0,51.0,35.0,32.79,-0.21,46.99,-4.01,41.32,6.32
18,0,2014.0,Burnley,38.0,7.0,12.0,19.0,28.0,53.0,33.0,39.37,11.37,57.89,4.89,39.8,6.8
19,0,2014.0,Queens Park Rangers,38.0,8.0,6.0,24.0,42.0,73.0,30.0,45.73,3.73,65.26,-7.74,40.28,10.28
20,0,2014.0,Barcelona,38.0,30.0,4.0,4.0,110.0,21.0,94.0,102.98,-7.02,28.44,7.44,94.08,0.08
21,0,2014.0,Real Madrid,38.0,30.0,2.0,6.0,118.0,38.0,92.0,95.77,-22.23,42.61,4.61,81.75,-10.25
22,0,2014.0,Atletico Madrid,38.0,23.0,9.0,6.0,67.0,29.0,78.0,57.05,-9.95,29.07,0.07,73.14,-4.86
23,0,2014.0,Valencia,38.0,22.0,11.0,5.0,70.0,32.0,77.0,55.06,-14.94,39.39,7.39,63.71,-13.29
24,0,2014.0,Sevilla,38.0,23.0,7.0,8.0,71.0,45.0,76.0,69.53,-1.47,47.86,2.86,67.39,-8.61
