,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2018.0,Manchester City,38.0,32.0,2.0,4.0,95.0,23.0,98.0,93.72,-1.28,25.73,2.73,90.64,-7.36
1,0,2018.0,Liverpool,38.0,30.0,7.0,1.0,89.0,22.0,97.0,79.46,-9.54,29.15,7.15,83.45,-13.55
2,0,2018.0,Chelsea,38.0,21.0,9.0,8.0,63.0,39.0,72.0,63.97,0.97,38.11,-0.89,71.45,-0.55
3,0,2018.0,Tottenham,38.0,23.0,2.0,13.0,67.0,39.0,71.0,61.75,-5.25,49.15,10.15,61.44,-9.56
4,0,2018.0,Arsenal,38.0,21.0,7.0,10.0,73.0,51.0,70.0,64.8,-8.2,57.3,6.3,58.97,-11.03
5,0,2018.0,Manchester United,38.0,19.0,9.0,10.0,65.0,54.0,66.0,68.62,3.62,52.3,-1.7,61.86,-4.14
6,0,2018.0,Wolverhampton Wanderers,38.0,16.0,9.0,13.0,47.0,46.0,57.0,53.06,6.06,42.69,-3.31,59.91,2.91
7,0,2018.0,Everton,38.0,15.0,9.0,14.0,54.0,46.0,54.0,53.87,-0.13,49.31,3.31,55.54,1.54
8,0,2018.0,Leicester,38.0,15.0,7.0,16.0,51.0,48.0,52.0,52.11,1.11,44.64,-3.36,56.24,4.24
9,0,2018.0,West Ham,38.0,15.0,7.0,16.0,52.0,55.0,52.0,47.96,-4.04,65.66,10.66,43.72,-8.28
10,0,2018.0,Watford,38.0,14.0,8.0,16.0,52.0,59.0,50.0,51.73,-0.27,63.29,4.29,46.0,-4.0
11,0,2018.0,Crystal Palace,38.0,14.0,7.0,17.0,51.0,53.0,49.0,50.64,-0.36,52.8,-0.2,51.93,2.93
12,0,2018.0,Newcastle United,38.0,12.0,9.0,17.0,42.0,48.0,45.0,39.91,-2.09,57.55,9.55,39.22,-5.78
13,0,2018.0,Bournemouth,38.0,13.0,6.0,19.0,56.0,70.0,45.0,58.81,2.81,62.42,-7.58,51.49,6.49
14,0,2018.0,Burnley,38.0,11.0,7.0,20.0,45.0,68.0,40.0,44.74,-0.26,66.12,-1.88,42.0,2.0
15,0,2018.0,Southampton,38.0,9.0,12.0,17.0,45.0,65.0,39.0,49.67,4.67,59.27,-5.73,45.11,6.11
16,0,2018.0,Brighton,38.0,9.0,9.0,20.0,35.0,60.0,36.0,37.03,2.03,62.46,2.46,36.19,0.19
17,0,2018.0,Cardiff,38.0,10.0,4.0,24.0,34.0,69.0,34.0,41.77,7.77,66.5,-2.5,37.45,3.45
18,0,2018.0,Fulham,38.0,7.0,5.0,26.0,34.0,81.0,26.0,42.62,8.62,73.59,-7.41,33.6,7.6
19,0,2018.0,Huddersfield,38.0,3.0,7.0,28.0,22.0,76.0,16.0,29.0,7.0,67.19,-8.81,29.61,13.61
20,0,2018.0,Barcelona,38.0,26.0,9.0,3.0,90.0,36.0,87.0,83.28,-6.72,44.93,8.93,73.96,-13.04
21,0,2018.0,Atletico Madrid,38.0,22.0,10.0,6.0,55.0,29.0,76.0,51.87,-3.13,41.43,12.43,59.43,-16.57
22,0,2018.0,Real Madrid,38.0,21.0,5.0,12.0,63.0,46.0,68.0,68.65,5.65,48.68,2.68,64.77,-3.23
23,0,2018.0,Valencia,38.0,15.0,16.0,7.0,51.0,35.0,61.0,61.88,10.88,42.85,7.85,65.16,4.16
24,0,2018.0,Sevilla,38.0,17.0,8.0,13.0,62.0,47.0,59.0,69.16,7.16,46.71,-0.29,65.08,6.08
25,0,2018.0,Getafe,38.0,15.0,14.0,9.0,48.0,35.0,59.0,47.03,-0.97,44.23,9.23,53.19,-5.81
26,0,2018.0,Espanyol,38.0,14.0,11.0,13.0,48.0,50.0,53.0,50.16,2.16,54.62,4.62,50.09,-2.91
27,0,2018.0,Athletic Club,38.0,13.0,14.0,11.0,41.0,45.0,53.0,44.44,3.44,47.16,2.16,50.01,-2.99
28,0,2018.0,Real Sociedad,38.0,13.0,11.0,14.0,45.0,46.0,50.0,47.99,2.99,48.09,2.09,51.13,1.13
29,0,2018.0,Real Betis,38.0,14.0,8.0,16.0,44.0,52.0,50.0,51.68,7.68,53.54,1.54,52.39,2.39
30,0,2018.0,Alaves,38.0,13.0,11.0,14.0,39.0,50.0,50.0,40.87,1.87,54.53,4.53,44.02,-5.98
31,0,2018.0,Eibar,38.0,11.0,14.0,13.0,46.0,50.0,47.0,56.63,10.63,47.88,-2.12,56.75,9.75
32,0,2018.0,Leganes,38.0,11.0,12.0,15.0,37.0,43.0,45.0,41.25,4.25,43.94,0.94,51.15,6.15
33,0,2018.0,Villarreal,38.0,10.0,14.0,14.0,49.0,52.0,44.0,54.8,5.8,56.12,4.12,52.18,8.18
34,0,2018.0,Levante,38.0,11.0,11.0,16.0,59.0,66.0,44.0,54.09,-4.91,78.86,12.86,40.23,-3.77
35,0,2018.0,Celta Vigo,38.0,10.0,11.0,17.0,53.0,62.0,41.0,48.7,-4.3,63.43,1.43,41.63,0.63
36,0,2018.0,Real Valladolid,38.0,10.0,11.0,17.0,32.0,51.0,41.0,41.64,9.64,57.65,6.65,41.8,0.8
37,0,2018.0,Girona,38.0,9.0,10.0,19.0,37.0,53.0,37.0,42.99,5.99,55.33,2.33,45.17,8.17
38,0,2018.0,SD Huesca,38.0,7.0,12.0,19.0,43.0,65.0,33.0,51.38,8.38,63.43,-1.57,44.96,11.96
39,0,2018.0,Rayo Vallecano,38.0,8.0,8.0,22.0,41.0,70.0,32.0,47.23,6.23,62.32,-7.68,43.02,11.02
40,0,2018.0,Bayern Munich,34.0,24.0,6.0,4.0,88.0,32.0,78.0,92.24,4.24,27.41,-4.59,82.0,4.0
41,0,2018.0,Borussia Dortmund,34.0,23.0,7.0,4.0,81.0,44.0,76.0,64.99,-16.01,42.88,-1.12,62.85,-13.15
42,0,2018.0,RasenBallsport Leipzig,34.0,19.0,9.0,6.0,63.0,29.0,66.0,68.25,5.25,39.65,10.65,63.06,-2.94
