,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2017.0,Manchester City,38.0,32.0,4.0,2.0,106.0,27.0,100.0,91.43,-14.57,24.51,-2.49,91.09,-8.91
1,0,2017.0,Manchester United,38.0,25.0,6.0,7.0,68.0,28.0,81.0,59.04,-8.96,43.54,15.54,62.33,-18.67
2,0,2017.0,Tottenham,38.0,23.0,8.0,7.0,74.0,36.0,77.0,68.91,-5.09,35.86,-0.14,76.02,-0.98
3,0,2017.0,Liverpool,38.0,21.0,12.0,5.0,84.0,38.0,75.0,77.49,-6.51,35.75,-2.25,79.38,4.38
4,0,2017.0,Chelsea,38.0,21.0,7.0,10.0,62.0,38.0,70.0,59.16,-2.84,34.03,-3.97,68.46,-1.54
5,0,2017.0,Arsenal,38.0,19.0,6.0,13.0,74.0,51.0,63.0,72.27,-1.73,48.75,-2.25,65.9,2.9
6,0,2017.0,Burnley,38.0,14.0,12.0,12.0,36.0,39.0,54.0,32.77,-3.23,52.16,13.16,41.0,-13.0
7,0,2017.0,Everton,38.0,13.0,10.0,15.0,44.0,58.0,49.0,43.71,-0.29,55.5,-2.5,47.0,-2.0
8,0,2017.0,Leicester,38.0,12.0,11.0,15.0,56.0,60.0,47.0,50.29,-5.71,49.36,-10.64,55.85,8.85
9,0,2017.0,Newcastle United,38.0,12.0,8.0,18.0,39.0,47.0,44.0,44.63,5.63,52.47,5.47,46.24,2.24
10,0,2017.0,Crystal Palace,38.0,11.0,11.0,16.0,45.0,55.0,44.0,56.75,11.75,53.54,-1.46,58.03,14.03
11,0,2017.0,Bournemouth,38.0,11.0,11.0,16.0,45.0,61.0,44.0,39.99,-5.01,64.93,3.93,37.64,-6.36
12,0,2017.0,West Ham,38.0,10.0,12.0,16.0,48.0,68.0,42.0,36.8,-11.2,58.37,-9.63,39.26,-2.74
13,0,2017.0,Watford,38.0,11.0,8.0,19.0,44.0,64.0,41.0,45.85,1.85,53.98,-10.02,46.69,5.69
