,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2019.0,Liverpool,Mohamed Salah,F,34.0,2904.0,19.0,10.0,4.09,1.86,20.66,1.66,8.73,-1.27,0.64,0.27
1,0,2019.0,Liverpool,Sadio Mané,F M,35.0,2761.0,18.0,7.0,2.51,1.92,14.58,-3.42,7.24,0.24,0.48,0.24
2,0,2019.0,Liverpool,Roberto Firmino,F M,38.0,3035.0,9.0,8.0,2.91,1.54,16.69,7.69,7.35,-0.65,0.49,0.22
3,0,2019.0,Liverpool,Virgil van Dijk,D,38.0,3420.0,5.0,1.0,0.82,0.18,2.96,-2.04,1.13,0.13,0.08,0.03
4,0,2019.0,Liverpool,Divock Origi,F,28.0,680.0,4.0,1.0,1.85,1.06,2.1,-1.9,0.83,-0.17,0.28,0.11
5,0,2019.0,Liverpool,Jordan Henderson,M,30.0,2254.0,4.0,5.0,0.8,1.08,1.18,-2.82,4.11,-0.89,0.05,0.16
6,0,2019.0,Liverpool,Georginio Wijnaldum,M,37.0,2980.0,4.0,0.0,1.09,0.54,2.65,-1.35,0.81,0.81,0.08,0.02
7,0,2019.0,Liverpool,Alex Oxlade-Chamberlain,F M,30.0,1511.0,4.0,1.0,2.38,1.01,2.5,-1.5,0.94,-0.06,0.15,0.06
8,0,2019.0,Liverpool,Trent Alexander-Arnold,D,38.0,3183.0,4.0,13.0,1.27,2.43,3.08,-0.92,11.17,-1.83,0.09,0.32
9,0,2019.0,Liverpool,James Milner,D M,22.0,895.0,2.0,2.0,1.21,1.11,2.16,0.16,0.93,-1.07,0.22,0.09
10,0,2019.0,Liverpool,Andrew Robertson,D,36.0,3114.0,2.0,12.0,0.64,1.73,1.81,-0.19,7.9,-4.1,0.05,0.23
11,0,2019.0,Liverpool,Fabinho,M,28.0,2063.0,2.0,3.0,0.52,0.83,0.31,-1.69,1.68,-1.32,0.01,0.07
12,0,2019.0,Liverpool,Naby Keita,M,18.0,812.0,2.0,3.0,1.33,1.66,1.72,-0.28,3.22,0.22,0.19,0.36
13,0,2019.0,Liverpool,Joel Matip,D,9.0,706.0,1.0,0.0,0.51,0.13,0.3,-0.7,0.02,0.02,0.04,0.0
14,0,2019.0,Liverpool,Adam Lallana,M,15.0,362.0,1.0,1.0,1.24,0.99,0.81,-0.19,0.65,-0.35,0.2,0.16
15,0,2019.0,Liverpool,Xherdan Shaqiri,M,7.0,175.0,1.0,0.0,2.06,1.54,0.54,-0.46,0.18,0.18,0.28,0.09
16,0,2019.0,Liverpool,Curtis Jones,M,6.0,108.0,1.0,0.0,5.0,0.0,0.81,-0.19,0.0,0.0,0.68,0.0
