id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1250,Mohamed Salah,36,2954,32,25.136492550373077,10,8.344478905200958,143,62,1,0,F M S,Liverpool,31,23.614155545830727,35.301444325596094,5.898576531559229
647,Harry Kane,37,3094,30,26.859878040850163,2,3.8204427883028984,183,34,5,0,F S,Tottenham,28,24.57636994868517,28.5152877997607,7.961639573797584
619,Sergio Agüero,25,1985,21,18.568616069853306,6,6.533231791108847,95,39,2,0,F S,Manchester City,17,15.523945644497871,23.707817398011684,7.5127200009301305
755,Jamie Vardy,37,3269,20,15.26695853471756,1,3.63082717359066,70,33,3,0,F,Leicester,15,10.69998712092638,15.584632940590382,1.9777403054758906
618,Raheem Sterling,33,2594,18,18.82997048087418,11,8.844120325520635,87,55,3,1,F S,Manchester City,17,18.068801494315267,33.65670891478658,12.149654759094119
594,Romelu Lukaku,34,2869,16,15.468227744102478,7,5.473205121234059,86,33,4,0,F S,Manchester United,16,14.707053691148758,24.643042024224997,7.161958605051041
482,Roberto Firmino,37,2814,15,10.763703489676118,7,7.678424785844982,84,56,1,0,F M S,Liverpool,14,10.002534905448556,27.837464049458504,12.625409290194511
3277,Alexandre Lacazette,32,2235,14,13.831237014383078,4,4.839555331505835,67,36,1,0,F S,Arsenal,12,12.308898691087961,20.89856270700693,6.22862989269197
5543,Gabriel Jesus,29,1692,13,15.36618173867464,3,2.307676523923874,55,18,6,0,F S,Manchester City,13,13.843847759068012,20.5614745169878,6.514695975929499
453,Son Heung-Min,37,2315,12,11.02160226739943,6,6.592508684843779,75,38,0,0,D F M S,Tottenham,12,11.02160226739943,22.617980360984802,6.259734956547618
701,Eden Hazard,34,2451,12,8.21246101334691,4,7.3030810207128525,71,84,2,0,F M S,Chelsea,10,6.690125960856676,19.69135767966509,9.29494846984744
750,Riyad Mahrez,36,2977,12,6.613530645146966,10,7.551042467355728,74,57,2,0,F M S,Leicester,12,6.613530645146966,15.855965666472912,6.466543274000287
882,Glenn Murray,35,2204,12,12.380600294098258,0,1.2383802104741335,52,16,9,0,F S,Brighton,8,7.8135867696255445,8.483373191207647,1.6577225178480148
865,Marko Arnautovic,31,2343,11,9.801479201763868,6,4.4477998204529285,71,34,5,1,F M S,West Ham,11,9.801479201763868,13.03737136349082,2.687312562018633
1804,Álvaro Morata,31,2069,11,13.90470589697361,6,3.583240458741784,79,36,7,0,F M S,Chelsea,11,13.90470589697361,17.912711100652814,2.9470129888504744
318,Pierre-Emerick Aubameyang,13,1056,10,9.174359612166882,4,1.264147974550724,31,13,0,0,F S,Arsenal,9,7.652027260512114,10.671037072315812,2.3664560075849295
337,Leroy Sané,32,2421,10,6.241070871241391,15,9.04887949116528,56,58,4,0,D F M S,Manchester City,10,6.241070871241391,19.68400301411748,11.898684792220592
629,Wayne Rooney,31,2301,10,8.90544430166483,2,2.2813411355018616,45,34,5,0,F M S,Everton,7,4.338429160416126,8.366080533713102,4.465430139563978
646,Christian Eriksen,37,3239,10,7.245935456827283,10,11.893049276433885,96,95,0,0,M,Tottenham,10,7.245935456827283,27.00611512362957,15.51144353300333
838,Sadio Mané,29,2230,10,11.518154991790652,7,5.250220185145736,70,49,3,1,F M S,Liverpool,10,11.518154991790652,21.158781994134188,6.351253234781325
4456,Chris Wood,24,1639,10,7.639496721327305,1,0.6027080062776804,40,11,1,0,F S,Burnley,10,7.639496721327305,7.594891671091318,1.022326205857098
5549,Luka Milivojevic,36,3087,10,7.874590067192912,1,1.2642450015991926,42,21,8,0,M S,Crystal Palace,3,1.785385811701417,8.746629910543561,8.064284989610314
498,Alexis Sánchez,31,2562,9,11.422600204125047,6,7.917656555771828,88,77,5,0,F M S,"Arsenal,Manchester United",8,9.900261035189033,22.282527536153793,9.066153444349766
