id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
755,Jamie Vardy,35,3034,23,18.903520427644253,5,6.368295930325985,89,32,3,0,F S,Leicester,19,15.097683936357498,21.026604628190398,1.7243402246385813
318,Pierre-Emerick Aubameyang,36,3143,22,16.352621614933014,3,4.492486532777548,93,26,3,1,F M S,Arsenal,20,14.830358684062958,19.964279878884554,5.339654562994838
986,Danny Ings,38,2836,22,15.659720553085208,2,2.849086041562259,93,35,3,0,F M S,Southampton,21,14.137382855638862,18.488027464598417,5.015937743708491
618,Raheem Sterling,33,2678,20,19.799912065267563,1,7.208590239286423,100,48,5,0,F M S,Manchester City,20,18.277569144964218,31.442028179764748,10.186004303395748
1250,Mohamed Salah,34,2904,19,20.66332234814763,10,8.726041685789824,132,60,1,0,F S,Liverpool,16,18.379813332110643,31.37418942153454,8.425027072429657
647,Harry Kane,29,2595,18,13.297059614676982,2,3.1170066092163324,82,27,4,0,F,Tottenham,16,11.774761584121734,16.85461597563699,3.0513017745688558
838,Sadio Mané,35,2761,18,14.577481213957071,7,7.235698115080595,77,59,3,0,F M S,Liverpool,18,14.577481213957071,25.07319786399603,6.767017947509885
553,Anthony Martial,32,2672,17,13.240488132461905,6,4.618775302544236,80,30,1,0,F S,Manchester United,17,12.479318222030997,20.409552484750748,6.357812762260437
556,Marcus Rashford,31,2673,17,19.503727892413735,7,5.457172006368637,95,33,3,0,F M,Manchester United,11,13.414411062374711,20.244800126180053,5.906573572196066
4105,Raúl Jiménez,38,3269,17,16.510803668759763,6,7.226944707334042,117,48,3,0,F S,Wolverhampton Wanderers,13,13.466126619838178,22.560237324796617,5.709535629488528
619,Sergio Agüero,24,1462,16,15.557497031986713,3,2.920210164040327,76,19,1,0,F S,Manchester City,14,13.274028159677982,16.878257554024458,2.6447667879983783
702,Tammy Abraham,34,2233,15,18.08280211687088,3,2.9130469039082527,88,21,2,0,F S,Chelsea,15,18.08280211687088,19.841922400519252,1.5461503937840462
447,Kevin De Bruyne,35,2818,14,8.106427356600761,20,20.620712891221046,100,133,3,0,M S,Manchester City,12,6.5840903371572495,37.79830400645733,19.244827073067427
4456,Chris Wood,32,2462,14,17.226178102195263,1,1.470995786599815,65,22,1,0,F S,Burnley,13,16.465013168752193,12.642646510154009,2.4554112339392304
5543,Gabriel Jesus,34,2022,14,21.01520355977118,7,3.5988585241138935,101,32,3,0,F S,Manchester City,14,20.254034588113427,27.65223414450884,7.181312914937735
5555,Dominic Calvert-Lewin,36,2639,13,16.109829664230347,1,1.3362244945019484,85,15,9,0,F S,Everton,13,16.109829664230347,17.212487518787384,3.8967645466327667
