,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
74,0,2019.0,Genoa,38.0,10.0,9.0,19.0,47.0,73.0,39.0,49.89,2.89,59.51,-13.49,46.12,7.12
75,0,2019.0,Lecce,38.0,9.0,8.0,21.0,52.0,85.0,35.0,53.47,1.47,91.97,6.97,34.92,-0.08
76,0,2019.0,Brescia,38.0,6.0,7.0,25.0,35.0,79.0,25.0,43.25,8.25,78.38,-0.62,33.14,8.14
77,0,2019.0,SPAL 2013,38.0,5.0,5.0,28.0,27.0,77.0,20.0,39.07,12.07,71.97,-5.03,30.49,10.49
78,0,2019.0,Paris Saint Germain,27.0,22.0,2.0,3.0,75.0,24.0,68.0,76.42,1.42,22.43,-1.57,65.68,-2.32
79,0,2019.0,Marseille,28.0,16.0,8.0,4.0,41.0,29.0,56.0,36.42,-4.58,32.05,3.05,41.73,-14.27
80,0,2019.0,Rennes,28.0,15.0,5.0,8.0,38.0,24.0,50.0,34.37,-3.63,28.15,4.15,41.18,-8.82
81,0,2019.0,Lille,28.0,15.0,4.0,9.0,35.0,27.0,49.0,40.81,5.81,30.17,3.17,47.12,-1.88
82,0,2019.0,Reims,28.0,10.0,11.0,7.0,26.0,21.0,41.0,28.93,2.93,26.47,5.47,40.42,-0.58
83,0,2019.0,Nice,28.0,11.0,8.0,9.0,41.0,38.0,41.0,36.45,-4.55,42.69,4.69,35.62,-5.38
84,0,2019.0,Lyon,28.0,11.0,7.0,10.0,42.0,27.0,40.0,36.24,-5.76,24.73,-2.27,46.34,6.34
85,0,2019.0,Montpellier,28.0,11.0,7.0,10.0,35.0,34.0,40.0,34.95,-0.05,32.26,-1.74,40.05,0.05
86,0,2019.0,Monaco,28.0,11.0,7.0,10.0,44.0,44.0,40.0,48.55,4.55,41.06,-2.94,42.47,2.47
87,0,2019.0,Angers,28.0,11.0,6.0,11.0,28.0,33.0,39.0,27.1,-0.9,28.15,-4.85,37.49,-1.51
88,0,2019.0,Strasbourg,27.0,11.0,5.0,11.0,32.0,32.0,38.0,34.56,2.56,33.46,1.46,37.74,-0.26
89,0,2019.0,Bordeaux,28.0,9.0,10.0,9.0,40.0,34.0,37.0,30.47,-9.53,35.2,1.2,37.06,0.06
90,0,2019.0,Nantes,28.0,11.0,4.0,13.0,28.0,31.0,37.0,27.81,-0.19,30.26,-0.74,35.91,-1.09
91,0,2019.0,Brest,28.0,8.0,10.0,10.0,34.0,37.0,34.0,30.05,-3.95,44.11,7.11,30.64,-3.36
92,0,2019.0,Metz,28.0,8.0,10.0,10.0,27.0,35.0,34.0,24.65,-2.35,36.54,1.54,29.04,-4.96
93,0,2019.0,Dijon,28.0,7.0,9.0,12.0,27.0,37.0,30.0,27.38,0.38,39.3,2.3,31.19,1.19
94,0,2019.0,Saint-Etienne,28.0,8.0,6.0,14.0,29.0,45.0,30.0,29.65,0.65,37.73,-7.27,32.68,2.68
95,0,2019.0,Nimes,28.0,7.0,6.0,15.0,29.0,44.0,27.0,30.19,1.19,40.47,-3.53,32.69,5.69
96,0,2019.0,Amiens,28.0,4.0,11.0,13.0,31.0,50.0,23.0,25.62,-5.38,38.43,-11.57,32.84,9.84
97,0,2019.0,Toulouse,28.0,3.0,4.0,21.0,22.0,58.0,13.0,31.29,9.29,48.28,-9.72,28.01,15.01
