,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2018.0,Manchester City,Sergio Agüero,F,33.0,2515.0,21.0,8.0,4.22,1.22,19.95,-1.05,5.23,-2.77,0.71,0.19
1,0,2018.0,Manchester City,Raheem Sterling,F M,34.0,2788.0,17.0,10.0,2.49,2.13,15.91,-1.09,10.79,0.79,0.51,0.35
2,0,2018.0,Manchester City,Leroy Sané,F M,31.0,1866.0,10.0,10.0,2.7,1.93,6.98,-3.02,8.1,-1.9,0.34,0.39
3,0,2018.0,Manchester City,Riyad Mahrez,F M,27.0,1333.0,7.0,4.0,3.65,1.62,6.62,-0.38,5.01,1.01,0.45,0.34
4,0,2018.0,Manchester City,Bernardo Silva,F M,36.0,2851.0,7.0,7.0,1.96,2.24,8.2,1.2,8.63,1.63,0.26,0.27
5,0,2018.0,Manchester City,Gabriel Jesus,F,29.0,993.0,7.0,3.0,3.9,1.9,12.62,5.62,2.65,-0.35,1.14,0.24
6,0,2018.0,Manchester City,Ilkay Gündogan,M,31.0,2133.0,6.0,3.0,1.81,1.81,4.21,-1.79,4.97,1.97,0.18,0.21
7,0,2018.0,Manchester City,David Silva,M,33.0,2426.0,6.0,8.0,1.89,2.71,8.13,2.13,10.11,2.11,0.3,0.38
8,0,2018.0,Manchester City,Aymeric Laporte,D,35.0,3059.0,3.0,3.0,0.76,0.38,3.75,0.75,0.84,-2.16,0.11,0.02
9,0,2018.0,Manchester City,Kevin De Bruyne,M,19.0,965.0,2.0,2.0,2.89,3.36,1.47,-0.53,6.65,4.65,0.14,0.62
10,0,2018.0,Manchester City,Vincent Kompany,D,17.0,1221.0,1.0,0.0,0.37,0.07,0.24,-0.76,0.07,0.07,0.02,0.01
11,0,2018.0,Manchester City,Fernandinho,D M,29.0,2397.0,1.0,3.0,1.13,0.83,1.72,0.72,3.13,0.13,0.06,0.12
12,0,2018.0,Manchester City,Kyle Walker,D,33.0,2774.0,1.0,1.0,0.68,0.78,0.73,-0.27,1.94,0.94,0.02,0.06
13,0,2018.0,Manchester City,Danilo,D,11.0,806.0,1.0,0.0,1.56,0.45,0.42,-0.58,0.13,0.13,0.05,0.01
14,0,2018.0,Manchester City,Phil Foden,M,13.0,316.0,1.0,0.0,3.99,2.28,2.25,1.25,1.07,1.07,0.64,0.31
15,0,2018.0,Manchester City,John Stones,D M,24.0,1763.0,0.0,0.0,0.26,0.26,0.16,0.16,0.22,0.22,0.01,0.01
16,0,2018.0,Manchester City,Nicolás Otamendi,D,18.0,1233.0,0.0,0.0,1.09,0.15,1.18,1.18,0.29,0.29,0.09,0.02
17,0,2018.0,Manchester City,Fabian Delph,D,11.0,723.0,0.0,1.0,0.5,0.37,0.07,0.07,0.39,-0.61,0.01,0.05
18,0,2018.0,Manchester City,Oleksandr Zinchenko,D M,14.0,1153.0,0.0,3.0,0.55,0.94,0.21,0.21,1.72,-1.28,0.02,0.13
19,0,2018.0,Manchester City,Benjamin Mendy,D M,10.0,900.0,0.0,5.0,0.7,1.2,0.23,0.23,2.05,-2.95,0.02,0.2
20,0,2018.0,Manchester City,Ederson,GK,38.0,3420.0,0.0,1.0,0.0,0.08,0.0,0.0,0.07,-0.93,0.0,0.0
21,0,2018.0,Liverpool,Sadio Mané,F M,36.0,3100.0,22.0,1.0,2.53,1.31,16.76,-5.24,5.12,4.12,0.49,0.15
22,0,2018.0,Liverpool,Mohamed Salah,F,38.0,3274.0,22.0,8.0,3.77,1.87,21.79,-0.21,10.47,2.47,0.6,0.29
23,0,2018.0,Liverpool,Roberto Firmino,F M,34.0,2631.0,12.0,6.0,2.57,1.47,13.74,1.74,6.34,0.34,0.47,0.22
24,0,2018.0,Liverpool,Xherdan Shaqiri,M,24.0,1048.0,6.0,3.0,2.23,1.72,4.06,-1.94,1.89,-1.11,0.35,0.16
25,0,2018.0,Liverpool,James Milner,D M,31.0,1775.0,5.0,4.0,1.22,2.23,3.36,-1.64,5.64,1.64,0.17,0.29
26,0,2018.0,Liverpool,Virgil van Dijk,D,38.0,3388.0,4.0,2.0,0.82,0.19,3.51,-0.49,1.27,-0.73,0.09,0.03
27,0,2018.0,Liverpool,Divock Origi,F,12.0,357.0,3.0,1.0,3.28,0.76,2.24,-0.76,0.19,-0.81,0.57,0.05
28,0,2018.0,Liverpool,Georginio Wijnaldum,M,35.0,2749.0,3.0,0.0,0.98,0.82,3.18,0.18,1.94,1.94,0.1,0.06
29,0,2018.0,Liverpool,Daniel Sturridge,F,18.0,484.0,2.0,1.0,3.35,1.49,1.5,-0.5,1.07,0.07,0.28,0.2
30,0,2018.0,Liverpool,Naby Keita,M,25.0,1407.0,2.0,1.0,1.73,0.58,2.55,0.55,1.07,0.07,0.16,0.07
31,0,2018.0,Liverpool,Joel Matip,D,22.0,1535.0,1.0,0.0,0.47,0.18,0.9,-0.1,0.18,0.18,0.05,0.01
32,0,2018.0,Liverpool,Dejan Lovren,D,13.0,988.0,1.0,0.0,0.55,0.09,0.91,-0.09,0.11,0.11,0.08,0.01
33,0,2018.0,Liverpool,Jordan Henderson,D M,32.0,1979.0,1.0,3.0,0.73,0.68,1.51,0.51,1.69,-1.31,0.07,0.08
34,0,2018.0,Liverpool,Trent Alexander-Arnold,D,29.0,2475.0,1.0,12.0,1.05,1.75,1.49,0.49,7.22,-4.78,0.05,0.26
35,0,2018.0,Liverpool,Fabinho,D M,28.0,2006.0,1.0,2.0,0.76,0.72,1.14,0.14,1.31,-0.69,0.05,0.06
36,0,2018.0,Liverpool,Adam Lallana,F M,13.0,459.0,0.0,0.0,0.98,1.76,0.3,0.3,0.54,0.54,0.06,0.11
37,0,2018.0,Liverpool,Nathaniel Clyne,D,4.0,103.0,0.0,0.0,2.62,0.0,0.08,0.08,0.0,0.0,0.07,0.0
