,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2015.0,Leicester,38.0,23.0,12.0,3.0,68.0,36.0,81.0,68.42,0.42,45.02,9.02,68.94,-12.06
1,0,2015.0,Arsenal,38.0,20.0,11.0,7.0,65.0,36.0,71.0,73.53,8.53,33.86,-2.14,77.01,6.01
2,0,2015.0,Tottenham,38.0,19.0,13.0,6.0,69.0,35.0,70.0,63.42,-5.58,37.08,2.08,69.42,-0.58
3,0,2015.0,Manchester City,38.0,19.0,9.0,10.0,71.0,41.0,66.0,66.2,-4.8,37.47,-3.53,70.14,4.14
4,0,2015.0,Manchester United,38.0,19.0,9.0,10.0,49.0,35.0,66.0,45.42,-3.58,39.66,4.66,56.43,-9.57
5,0,2015.0,Southampton,38.0,18.0,9.0,11.0,59.0,41.0,63.0,56.2,-2.8,44.29,3.29,61.08,-1.92
6,0,2015.0,West Ham,38.0,16.0,14.0,8.0,65.0,51.0,62.0,54.4,-10.6,55.48,4.48,49.8,-12.2
7,0,2015.0,Liverpool,38.0,16.0,12.0,10.0,63.0,50.0,60.0,54.37,-8.63,37.88,-12.12,63.29,3.29
8,0,2015.0,Stoke,38.0,14.0,9.0,15.0,41.0,55.0,51.0,42.63,1.63,54.35,-0.65,48.3,-2.7
9,0,2015.0,Chelsea,38.0,12.0,14.0,12.0,59.0,53.0,50.0,54.48,-4.52,44.63,-8.37,59.62,9.62
10,0,2015.0,Everton,38.0,11.0,14.0,13.0,59.0,55.0,47.0,53.98,-5.02,54.75,-0.25,52.69,5.69
11,0,2015.0,Swansea,38.0,12.0,11.0,15.0,42.0,52.0,47.0,39.96,-2.04,53.63,1.63,42.4,-4.6
12,0,2015.0,Watford,38.0,12.0,9.0,17.0,40.0,50.0,45.0,43.2,3.2,51.85,1.85,48.25,3.25
13,0,2015.0,West Bromwich Albion,38.0,10.0,13.0,15.0,34.0,48.0,43.0,39.75,5.75,51.94,3.94,42.3,-0.7
14,0,2015.0,Crystal Palace,38.0,11.0,9.0,18.0,39.0,51.0,42.0,42.51,3.51,52.94,1.94,44.89,2.89
15,0,2015.0,Bournemouth,38.0,11.0,9.0,18.0,45.0,67.0,42.0,38.71,-6.29,53.97,-13.03,43.77,1.77
16,0,2015.0,Sunderland,38.0,9.0,12.0,17.0,48.0,62.0,39.0,40.52,-7.48,58.85,-3.15,40.52,1.52
17,0,2015.0,Newcastle United,38.0,9.0,10.0,19.0,44.0,65.0,37.0,37.61,-6.39,55.42,-9.58,40.21,3.21
18,0,2015.0,Norwich,38.0,9.0,7.0,22.0,39.0,67.0,34.0,39.19,0.19,58.93,-8.07,39.18,5.18
19,0,2015.0,Aston Villa,38.0,3.0,8.0,27.0,27.0,76.0,17.0,26.53,-0.47,59.01,-16.99,29.81,12.81
20,0,2015.0,Barcelona,38.0,29.0,4.0,5.0,112.0,29.0,91.0,113.6,1.6,34.03,5.03,94.38,3.38
21,0,2015.0,Real Madrid,38.0,28.0,6.0,4.0,110.0,34.0,90.0,90.45,-19.55,45.23,11.23,79.09,-10.91
22,0,2015.0,Atletico Madrid,38.0,28.0,4.0,6.0,63.0,18.0,88.0,54.93,-8.07,27.8,9.8,72.28,-15.72
23,0,2015.0,Villarreal,38.0,18.0,10.0,10.0,44.0,35.0,64.0,40.49,-3.51,41.63,6.63,52.11,-11.89
24,0,2015.0,Athletic Club,38.0,18.0,8.0,12.0,58.0,45.0,62.0,53.9,-4.1,45.33,0.33,58.24,-3.76
25,0,2015.0,Celta Vigo,38.0,17.0,9.0,12.0,51.0,59.0,60.0,50.2,-0.8,51.98,-7.02,53.08,-6.92
26,0,2015.0,Sevilla,38.0,14.0,10.0,14.0,51.0,50.0,52.0,62.97,11.97,46.09,-3.91,63.64,11.64
27,0,2015.0,Malaga,38.0,12.0,12.0,14.0,38.0,35.0,48.0,45.75,7.75,45.25,10.25,53.08,5.08
28,0,2015.0,Real Sociedad,38.0,13.0,9.0,16.0,45.0,48.0,48.0,47.95,2.95,48.04,0.04,52.75,4.75
29,0,2015.0,Real Betis,38.0,11.0,12.0,15.0,34.0,52.0,45.0,40.11,6.11,64.39,12.39,40.49,-4.51
30,0,2015.0,Valencia,38.0,11.0,11.0,16.0,46.0,48.0,44.0,50.51,4.51,61.69,13.69,46.73,2.73
31,0,2015.0,Las Palmas,38.0,12.0,8.0,18.0,45.0,53.0,44.0,38.68,-6.32,59.24,6.24,41.18,-2.82
32,0,2015.0,Eibar,38.0,11.0,10.0,17.0,49.0,61.0,43.0,52.92,3.92,50.58,-10.42,54.03,11.03
33,0,2015.0,Espanyol,38.0,12.0,7.0,19.0,40.0,74.0,43.0,46.09,6.09,60.84,-13.16,43.15,0.15
34,0,2015.0,Deportivo La Coruna,38.0,8.0,18.0,12.0,45.0,61.0,42.0,43.75,-1.25,52.37,-8.63,46.08,4.08
35,0,2015.0,Sporting Gijon,38.0,10.0,9.0,19.0,40.0,62.0,39.0,42.57,2.57,60.62,-1.38,40.61,1.61
36,0,2015.0,Granada,38.0,10.0,9.0,19.0,46.0,69.0,39.0,41.35,-4.65,62.37,-6.63,38.5,-0.5
37,0,2015.0,Rayo Vallecano,38.0,9.0,11.0,18.0,52.0,73.0,38.0,52.26,0.26,65.09,-7.91,45.78,7.78
38,0,2015.0,Getafe,38.0,9.0,9.0,20.0,37.0,67.0,36.0,41.77,4.77,63.35,-3.65,40.88,4.88
39,0,2015.0,Levante,38.0,8.0,8.0,22.0,37.0,70.0,32.0,39.22,2.22,63.55,-6.45,37.33,5.33
40,0,2015.0,Bayern Munich,34.0,28.0,4.0,2.0,80.0,17.0,88.0,77.04,-2.96,20.79,3.79,77.97,-10.03
41,0,2015.0,Borussia Dortmund,34.0,24.0,6.0,4.0,82.0,34.0,78.0,83.41,1.41,29.18,-4.82,76.58,-1.42
42,0,2015.0,Bayer Leverkusen,34.0,18.0,6.0,10.0,56.0,40.0,60.0,52.91,-3.09,41.24,1.24,56.66,-3.34
43,0,2015.0,Borussia M.Gladbach,34.0,17.0,4.0,13.0,67.0,50.0,55.0,53.67,-13.33,49.07,-0.93,50.06,-4.94
44,0,2015.0,Schalke 04,34.0,15.0,7.0,12.0,51.0,49.0,52.0,47.13,-3.87,47.88,-1.12,45.62,-6.38
45,0,2015.0,Mainz 05,34.0,14.0,8.0,12.0,46.0,42.0,50.0,47.91,1.91,47.27,5.27,46.67,-3.33
46,0,2015.0,Hertha Berlin,34.0,14.0,8.0,12.0,42.0,42.0,50.0,35.9,-6.1,43.94,1.94,44.16,-5.84
47,0,2015.0,Wolfsburg,34.0,12.0,9.0,13.0,47.0,49.0,45.0,49.49,2.49,41.62,-7.38,52.38,7.38
48,0,2015.0,FC Cologne,34.0,10.0,13.0,11.0,38.0,42.0,43.0,42.87,4.87,44.43,2.43,46.63,3.63
49,0,2015.0,Hamburger SV,34.0,11.0,8.0,15.0,40.0,46.0,41.0,38.75,-1.25,51.19,5.19,38.62,-2.38
50,0,2015.0,Ingolstadt,34.0,10.0,10.0,14.0,33.0,42.0,40.0,41.02,8.02,45.82,3.82,42.93,2.93
51,0,2015.0,Augsburg,34.0,9.0,11.0,14.0,42.0,52.0,38.0,42.39,0.39,55.65,3.65,41.18,3.18
52,0,2015.0,Werder Bremen,34.0,10.0,8.0,16.0,50.0,65.0,38.0,50.12,0.12,51.8,-13.2,47.76,9.76
53,0,2015.0,Darmstadt,34.0,9.0,11.0,14.0,38.0,53.0,38.0,39.03,1.03,51.06,-1.94,39.47,1.47
54,0,2015.0,Hoffenheim,34.0,9.0,10.0,15.0,39.0,54.0,37.0,39.55,0.55,60.41,6.41,36.17,-0.83
55,0,2015.0,Eintracht Frankfurt,34.0,9.0,9.0,16.0,34.0,52.0,36.0,32.95,-1.05,54.31,2.31,33.53,-2.47
56,0,2015.0,VfB Stuttgart,34.0,9.0,6.0,19.0,50.0,75.0,33.0,57.7,7.7,65.06,-9.94,45.48,12.48
57,0,2015.0,Hannover 96,34.0,7.0,4.0,23.0,31.0,62.0,25.0,32.43,1.43,63.58,1.58,26.46,1.46
58,0,2015.0,Juventus,38.0,29.0,4.0,5.0,75.0,20.0,91.0,62.99,-12.01,23.0,3.0,78.74,-12.26
59,0,2015.0,Napoli,38.0,25.0,7.0,6.0,80.0,32.0,82.0,69.53,-10.47,26.69,-5.31,79.07,-2.93
60,0,2015.0,Roma,38.0,23.0,11.0,4.0,83.0,41.0,80.0,64.43,-18.57,39.79,-1.21,69.85,-10.15
61,0,2015.0,Inter,38.0,20.0,7.0,11.0,50.0,38.0,67.0,54.3,4.3,44.25,6.25,58.84,-8.16
62,0,2015.0,Fiorentina,38.0,18.0,10.0,10.0,60.0,42.0,64.0,53.19,-6.81,36.22,-5.78,63.31,-0.69
63,0,2015.0,Sassuolo,38.0,16.0,13.0,9.0,49.0,40.0,61.0,47.32,-1.68,42.93,2.93,53.62,-7.38
64,0,2015.0,AC Milan,38.0,15.0,12.0,11.0,49.0,43.0,57.0,53.91,4.91,40.91,-2.09,60.29,3.29
65,0,2015.0,Lazio,38.0,15.0,9.0,14.0,52.0,52.0,54.0,55.21,3.21,43.58,-8.42,59.99,5.99
66,0,2015.0,Chievo,38.0,13.0,11.0,14.0,43.0,45.0,50.0,40.59,-2.41,51.09,6.09,45.91,-4.09
67,0,2015.0,Genoa,38.0,13.0,7.0,18.0,45.0,48.0,46.0,45.29,0.29,48.63,0.63,48.63,2.63
68,0,2015.0,Empoli,38.0,12.0,10.0,16.0,40.0,49.0,46.0,37.84,-2.16,47.51,-1.49,44.41,-1.59
69,0,2015.0,Torino,38.0,12.0,9.0,17.0,52.0,55.0,45.0,49.42,-2.58,41.29,-13.71,57.52,12.52
70,0,2015.0,Atalanta,38.0,11.0,12.0,15.0,41.0,47.0,45.0,46.08,5.08,51.41,4.41,49.42,4.42
71,0,2015.0,Bologna,38.0,11.0,9.0,18.0,33.0,45.0,42.0,35.48,2.48,51.84,6.84,41.54,-0.46
72,0,2015.0,Sampdoria,38.0,10.0,10.0,18.0,48.0,61.0,40.0,40.53,-7.47,66.19,5.19,36.56,-3.44
73,0,2015.0,Udinese,38.0,10.0,9.0,19.0,35.0,60.0,39.0,46.31,11.31,51.42,-8.58,48.73,9.73
74,0,2015.0,Palermo,38.0,10.0,9.0,19.0,38.0,65.0,39.0,36.55,-1.45,61.84,-3.16,35.26,-3.74
75,0,2015.0,Carpi,38.0,9.0,11.0,18.0,37.0,57.0,38.0,43.37,6.37,51.8,-5.2,45.19,7.19
76,0,2015.0,Frosinone,38.0,8.0,7.0,23.0,35.0,76.0,31.0,33.84,-1.16,74.23,-1.77,29.38,-1.62
77,0,2015.0,Verona,38.0,5.0,13.0,20.0,34.0,63.0,28.0,40.17,6.17,61.71,-1.29,38.87,10.87
78,0,2015.0,Paris Saint Germain,38.0,30.0,6.0,2.0,102.0,19.0,96.0,86.2,-15.8,24.37,5.37,90.27,-5.73
79,0,2015.0,Lyon,38.0,19.0,8.0,11.0,67.0,43.0,65.0,63.01,-3.99,38.01,-4.99,68.69,3.69
80,0,2015.0,Monaco,38.0,17.0,14.0,7.0,57.0,50.0,65.0,58.13,1.13,48.81,-1.19,59.39,-5.61
81,0,2015.0,Nice,38.0,18.0,9.0,11.0,58.0,41.0,63.0,45.23,-12.77,47.71,6.71,51.99,-11.01
