Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
2003-2004,9,Bayern Munich,de,2,34,20,8,6,70,39,31.0,68,2.00,,,,
2003-2004,10,Paris S-G,fr,2,38,22,10,6,50,28,22.0,76,2.00,,,,
2003-2004,11,Monaco,fr,3,38,21,12,5,59,30,29.0,75,1.97,,,,
2003-2004,12,Manchester Utd,eng,3,38,23,6,9,64,35,29.0,75,1.97,,,,
2003-2004,13,Leverkusen,de,3,34,19,8,7,73,39,34.0,65,1.91,,,,
2003-2004,14,Barcelona,es,2,38,21,9,8,63,39,24.0,72,1.89,,,,
2003-2004,15,Stuttgart,de,4,34,18,10,6,52,24,28.0,64,1.88,,,,
2003-2004,16,La Coruña,es,3,38,21,8,9,60,34,26.0,71,1.87,,,,
2003-2004,17,Real Madrid,es,4,38,21,7,10,72,54,18.0,70,1.84,,,,
2003-2004,18,Inter,it,4,34,17,8,9,59,37,22.0,59,1.74,,,,
2003-2004,19,Auxerre,fr,4,38,19,8,11,60,34,26.0,65,1.71,,,,
2003-2004,20,Parma,it,5,34,16,10,8,57,46,11.0,58,1.71,,,,
2003-2004,21,Sochaux,fr,5,38,18,9,11,54,42,12.0,63,1.66,,,,
2003-2004,22,Bochum,de,5,34,15,11,8,57,39,18.0,56,1.65,,,,
2003-2004,23,Lazio,it,6,34,16,8,10,52,38,14.0,56,1.65,,,,
2003-2004,24,Dortmund,de,6,34,16,7,11,59,48,11.0,55,1.62,,,,
2003-2004,25,Liverpool,eng,4,38,16,12,10,55,37,18.0,60,1.58,,,,
2003-2004,26,Nantes,fr,6,38,17,9,12,47,35,12.0,60,1.58,,,,
2003-2004,27,Marseille,fr,7,38,17,6,15,51,45,6.0,57,1.50,,,,
2003-2004,28,Newcastle Utd,eng,5,38,13,17,8,52,40,12.0,56,1.47,,,,
2003-2004,29,Schalke 04,de,7,34,13,11,10,49,42,7.0,50,1.47,,,,
2003-2004,30,Udinese,it,7,34,13,11,10,44,40,4.0,50,1.47,,,,
2003-2004,31,Athletic Club,es,5,38,15,11,12,53,49,4.0,56,1.47,,,,
2003-2004,32,Aston Villa,eng,6,38,15,11,12,48,44,4.0,56,1.47,,,,
2003-2004,33,Sevilla,es,6,38,15,10,13,56,45,11.0,55,1.45,,,,
2003-2004,34,Atlético Madrid,es,7,38,15,10,13,51,53,-2.0,55,1.45,,,,
2003-2004,35,Hamburger SV,de,8,34,14,7,13,47,60,-13.0,49,1.44,,,,
2003-2004,36,Villarreal,es,8,38,15,9,14,47,49,-2.0,54,1.42,,,,
2003-2004,37,Charlton Ath,eng,7,38,14,11,13,51,51,0.0,53,1.39,,,,
2003-2004,38,Bolton,eng,8,38,14,11,13,48,56,-8.0,53,1.39,,,,
2003-2004,39,Lens,fr,8,38,15,8,15,34,48,-14.0,53,1.39,,,,
2003-2004,40,Rennes,fr,9,38,14,10,14,56,44,12.0,52,1.37,,,,
2003-2004,41,Fulham,eng,9,38,14,10,14,52,46,6.0,52,1.37,,,,
2003-2004,42,Betis,es,9,38,13,13,12,46,43,3.0,52,1.37,,,,
2003-2004,43,Sampdoria,it,8,34,11,13,10,40,42,-2.0,46,1.35,,,,
2003-2004,44,Lille,fr,10,38,14,9,15,41,41,0.0,51,1.34,,,,
2003-2004,45,Málaga,es,10,38,15,6,17,50,55,-5.0,51,1.34,,,,
2003-2004,46,Mallorca,es,11,38,15,6,17,54,66,-12.0,51,1.34,,,,
2003-2004,47,Nice,fr,11,38,11,17,10,42,39,3.0,50,1.32,,,,
2003-2004,48,Bordeaux,fr,12,38,13,11,14,40,43,-3.0,50,1.32,,,,
2003-2004,49,Birmingham City,eng,10,38,12,14,12,43,48,-5.0,50,1.32,,,,
2003-2004,50,Hansa Rostock,de,9,34,12,8,14,55,54,1.0,44,1.29,,,,
2003-2004,51,Chievo,it,9,34,11,11,12,36,37,-1.0,44,1.29,,,,
2003-2004,52,Osasuna,es,13,38,11,15,12,38,37,1.0,48,1.26,,,,
2003-2004,53,Middlesbrough,eng,11,38,13,9,16,44,52,-8.0,48,1.26,,,,
2003-2004,54,Zaragoza,es,12,38,13,9,16,46,55,-9.0,48,1.26,,,,
2003-2004,55,Southampton,eng,12,38,12,11,15,44,45,-1.0,47,1.24,,,,
2003-2004,56,Wolfsburg,de,10,34,13,3,18,56,61,-5.0,42,1.24,,,,
2003-2004,57,Albacete,es,14,38,13,8,17,40,48,-8.0,47,1.24,,,,
2003-2004,58,Real Sociedad,es,15,38,11,13,14,49,53,-4.0,46,1.21,,,,
2003-2004,59,Lecce,it,10,34,11,8,15,43,56,-13.0,41,1.21,,,,
2003-2004,60,Brescia,it,11,34,9,13,12,52,57,-5.0,40,1.18,,,,
2003-2004,61,Portsmouth,eng,13,38,12,9,17,47,54,-7.0,45,1.18,,,,
2003-2004,62,Tottenham,eng,14,38,13,6,19,47,57,-10.0,45,1.18,,,,
2003-2004,63,Blackburn,eng,15,38,12,8,18,51,59,-8.0,44,1.16,,,,
2003-2004,64,Bologna,it,12,34,10,9,15,45,53,-8.0,39,1.15,,,,
2003-2004,65,M'Gladbach,de,11,34,10,9,15,40,49,-9.0,39,1.15,,,,
2003-2004,66,Hertha BSC,de,12,34,9,12,13,42,59,-17.0,39,1.15,,,,
2003-2004,67,Strasbourg,fr,13,38,10,13,15,43,50,-7.0,43,1.13,,,,
2003-2004,68,Racing Sant,es,17,38,11,10,17,48,63,-15.0,43,1.13,,,,
2003-2004,69,Espanyol,es,16,38,13,4,21,48,64,-16.0,43,1.13,,,,
2003-2004,70,Freiburg,de,13,34,10,8,16,42,67,-25.0,38,1.12,,,,
2003-2004,71,Metz,fr,14,38,11,9,18,34,42,-8.0,42,1.11,,,,
2003-2004,72,Hannover 96,de,14,34,9,10,15,49,63,-14.0,37,1.09,,,,
2003-2004,73,Manchester City,eng,16,38,9,14,15,55,54,1.0,41,1.08,,,,
2003-2004,74,Valladolid,es,18,38,10,11,17,46,56,-10.0,41,1.08,,,,
2003-2004,75,Kaiserslautern,de,15,34,11,6,17,39,62,-23.0,36,1.06,,,,
2003-2004,76,Ajaccio,fr,15,38,10,10,18,33,55,-22.0,40,1.05,,,,
2003-2004,77,Everton,eng,17,38,9,12,17,45,57,-12.0,39,1.03,,,,
2003-2004,78,Toulouse,fr,16,38,9,12,17,31,44,-13.0,39,1.03,,,,
2003-2004,79,Bastia,fr,17,38,9,12,17,33,49,-16.0,39,1.03,,,,
2003-2004,80,Celta Vigo,es,19,38,9,12,17,48,68,-20.0,39,1.03,,,,
2003-2004,81,Siena,it,14,34,8,10,16,41,54,-13.0,34,1.00,,,,
2003-2004,82,Reggina,it,13,34,6,16,12,29,45,-16.0,34,1.00,,,,
2003-2004,83,Guingamp,fr,18,38,10,8,20,36,58,-22.0,38,1.00,,,,
2003-2004,84,Le Mans,fr,19,38,9,11,18,35,57,-22.0,38,1.00,,,,
2003-2004,85,Perugia,it,15,34,6,14,14,44,56,-12.0,32,0.94,,,,
2003-2004,86,Eint Frankfurt,de,16,34,9,5,20,36,53,-17.0,32,0.94,,,,
2003-2004,87,1860 Munich,de,17,34,8,8,18,32,55,-23.0,32,0.94,,,,
2003-2004,88,Modena,it,16,34,6,12,16,27,46,-19.0,30,0.88,,,,
2003-2004,89,Empoli,it,17,34,7,9,18,26,54,-28.0,30,0.88,,,,
2003-2004,90,Leicester City,eng,18,38,6,15,17,48,65,-17.0,33,0.87,,,,
2003-2004,91,Leeds United,eng,19,38,8,9,21,40,79,-39.0,33,0.87,,,,
2003-2004,92,Wolves,eng,20,38,7,12,19,38,77,-39.0,33,0.87,,,,
2003-2004,93,Montpellier,fr,20,38,8,7,23,41,74,-33.0,31,0.82,,,,
2003-2004,94,Köln,de,18,34,6,5,23,32,57,-25.0,23,0.68,,,,
2003-2004,95,Real Murcia,es,20,38,5,11,22,29,57,-28.0,26,0.68,,,,
2003-2004,96,Ancona,it,18,34,2,7,25,21,70,-49.0,13,0.38,,,,
2002-2003,1,Bayern Munich,de,1,34,23,6,5,70,25,45.0,75,2.21,,,,
2002-2003,2,Manchester Utd,eng,1,38,25,8,5,74,34,40.0,83,2.18,,,,
2002-2003,3,Juventus,it,1,34,21,9,4,64,29,35.0,72,2.12,,,,
2002-2003,4,Real Madrid,es,1,38,22,12,4,86,42,44.0,78,2.05,,,,
2002-2003,5,Arsenal,eng,2,38,23,9,6,85,42,43.0,78,2.05,,,,
2002-2003,6,Real Sociedad,es,2,38,22,10,6,71,45,26.0,76,2.00,,,,
2002-2003,7,Inter,it,2,34,19,8,7,64,38,26.0,65,1.91,,,,
2002-2003,8,La Coruña,es,3,38,22,6,10,67,47,20.0,72,1.89,,,,
2002-2003,9,Newcastle Utd,eng,3,38,21,6,11,63,48,15.0,69,1.82,,,,
2002-2003,10,Milan,it,3,34,18,7,9,55,30,25.0,61,1.79,,,,
2002-2003,11,Lyon,fr,1,38,19,11,8,63,41,22.0,68,1.79,,,,
2002-2003,12,Monaco,fr,2,38,19,10,9,66,33,33.0,67,1.76,,,,
2002-2003,13,Chelsea,eng,4,38,19,10,9,68,38,30.0,67,1.76,,,,
2002-2003,14,Lazio,it,4,34,15,15,4,57,32,25.0,60,1.76,,,,
2002-2003,15,Stuttgart,de,2,34,17,8,9,53,39,14.0,59,1.74,,,,
2002-2003,16,Dortmund,de,3,34,15,13,6,51,27,24.0,58,1.71,,,,
2002-2003,17,Marseille,fr,3,38,19,8,11,41,36,5.0,65,1.71,,,,
2002-2003,18,Bordeaux,fr,4,38,18,10,10,57,36,21.0,64,1.68,,,,
2002-2003,19,Liverpool,eng,5,38,18,10,10,61,41,20.0,64,1.68,,,,
2002-2003,20,Sochaux,fr,5,38,17,13,8,46,31,15.0,64,1.68,,,,
2002-2003,21,Auxerre,fr,6,38,18,10,10,38,29,9.0,64,1.68,,,,
2002-2003,22,Parma,it,5,34,15,11,8,55,36,19.0,56,1.65,,,,
2002-2003,23,Hamburger SV,de,4,34,15,11,8,46,36,10.0,56,1.65,,,,
2002-2003,24,Udinese,it,6,34,16,8,10,38,35,3.0,56,1.65,,,,
2002-2003,25,Guingamp,fr,7,38,19,5,14,59,46,13.0,62,1.63,,,,
2002-2003,26,Chievo,it,7,34,16,7,11,51,39,12.0,55,1.62,,,,
2002-2003,27,Celta Vigo,es,4,38,17,10,11,45,36,9.0,61,1.61,,,,
2002-2003,28,Hertha BSC,de,5,34,16,6,12,52,43,9.0,54,1.59,,,,
2002-2003,29,Valencia,es,5,38,17,9,12,56,35,21.0,60,1.58,,,,
2002-2003,30,Blackburn,eng,6,38,16,12,10,52,43,9.0,60,1.58,,,,
2002-2003,31,Everton,eng,7,38,17,8,13,48,49,-1.0,59,1.55,,,,
2002-2003,32,Werder Bremen,de,6,34,16,4,14,51,50,1.0,52,1.53,,,,
2002-2003,33,Lens,fr,8,38,14,15,9,43,31,12.0,57,1.50,,,,
2002-2003,34,Barcelona,es,6,38,15,11,12,63,47,16.0,56,1.47,,,,
2002-2003,35,Nantes,fr,9,38,16,8,14,37,39,-2.0,56,1.47,,,,
2002-2003,36,Nice,fr,10,38,13,16,9,39,31,8.0,55,1.45,,,,
2002-2003,37,Athletic Club,es,7,38,15,10,13,63,61,2.0,55,1.45,,,,
2002-2003,38,Roma,it,8,34,13,10,11,55,46,9.0,49,1.44,,,,
2002-2003,39,Schalke 04,de,7,34,12,13,9,46,40,6.0,49,1.44,,,,
2002-2003,40,Paris S-G,fr,11,38,14,12,12,47,36,11.0,54,1.42,,,,
2002-2003,41,Betis,es,8,38,14,12,12,56,53,3.0,54,1.42,,,,
2002-2003,42,Southampton,eng,8,38,13,13,12,43,46,-3.0,52,1.37,,,,
2002-2003,43,Mallorca,es,9,38,14,10,14,49,56,-7.0,52,1.37,,,,
2002-2003,44,Wolfsburg,de,8,34,13,7,14,39,42,-3.0,46,1.35,,,,
2002-2003,45,Manchester City,eng,9,38,15,6,17,47,54,-7.0,51,1.34,,,,
2002-2003,46,Bochum,de,9,34,12,9,13,55,56,-1.0,45,1.32,,,,
2002-2003,47,Sevilla,es,10,38,13,11,14,38,39,-1.0,50,1.32,,,,
2002-2003,48,1860 Munich,de,10,34,12,9,13,44,52,-8.0,45,1.32,,,,
2002-2003,49,Tottenham,eng,10,38,14,8,16,51,62,-11.0,50,1.32,,,,
2002-2003,50,Middlesbrough,eng,11,38,13,10,15,48,44,4.0,49,1.29,,,,
2002-2003,51,Charlton Ath,eng,12,38,14,7,17,45,56,-11.0,49,1.29,,,,
2002-2003,52,Birmingham City,eng,13,38,13,9,16,41,49,-8.0,48,1.26,,,,
2002-2003,53,Fulham,eng,14,38,13,9,16,41,50,-9.0,48,1.26,,,,
2002-2003,54,Hannover 96,de,11,34,12,7,15,47,57,-10.0,43,1.26,,,,
2002-2003,55,Leeds United,eng,15,38,14,5,19,58,57,1.0,47,1.24,,,,
2002-2003,56,Brescia,it,9,34,9,15,10,36,38,-2.0,42,1.24,,,,
2002-2003,57,M'Gladbach,de,12,34,11,9,14,43,45,-2.0,42,1.24,,,,
2002-2003,58,Atlético Madrid,es,12,38,12,11,15,51,56,-5.0,47,1.24,,,,
2002-2003,59,Osasuna,es,11,38,12,11,15,40,48,-8.0,47,1.24,,,,
2002-2003,60,Bastia,fr,12,38,12,11,15,40,48,-8.0,47,1.24,,,,
2002-2003,61,Perugia,it,10,34,10,12,12,40,48,-8.0,42,1.24,,,,
2002-2003,62,Valladolid,es,14,38,12,10,16,37,40,-3.0,46,1.21,,,,
2002-2003,63,Málaga,es,13,38,11,13,14,44,49,-5.0,46,1.21,,,,
2002-2003,64,Hansa Rostock,de,13,34,11,8,15,35,41,-6.0,41,1.21,,,,
2002-2003,65,Bologna,it,11,34,10,11,13,39,47,-8.0,41,1.21,,,,
2002-2003,66,Kaiserslautern,de,14,34,10,10,14,40,42,-2.0,40,1.18,,,,
2002-2003,67,Aston Villa,eng,16,38,12,9,17,42,47,-5.0,45,1.18,,,,
2002-2003,68,Leverkusen,de,15,34,11,7,16,47,56,-9.0,40,1.18,,,,
2002-2003,69,Villarreal,es,15,38,11,12,15,44,53,-9.0,45,1.18,,,,
2002-2003,70,Strasbourg,fr,13,38,11,12,15,40,54,-14.0,45,1.18,,,,
2002-2003,71,Racing Sant,es,16,38,13,5,20,54,64,-10.0,44,1.16,,,,
2002-2003,72,Bolton,eng,17,38,10,14,14,41,51,-10.0,44,1.16,,,,
2002-2003,73,Espanyol,es,17,38,10,13,15,48,54,-6.0,43,1.13,,,,
2002-2003,74,Empoli,it,13,34,9,11,14,36,46,-10.0,38,1.12,,,,
2002-2003,75,Atalanta,it,15,34,8,14,12,35,47,-12.0,38,1.12,,,,
2002-2003,76,Reggina,it,14,34,10,8,16,38,53,-15.0,38,1.12,,,,
2002-2003,77,Modena,it,12,34,9,11,14,30,48,-18.0,38,1.12,,,,
2002-2003,78,Lille,fr,14,38,10,12,16,29,44,-15.0,42,1.11,,,,
2002-2003,79,West Ham,eng,18,38,10,12,16,42,59,-17.0,42,1.11,,,,
2002-2003,80,Arminia,de,16,34,8,12,14,35,46,-11.0,36,1.06,,,,
2002-2003,81,Rennes,fr,15,38,10,10,18,35,45,-10.0,40,1.05,,,,
2002-2003,82,Montpellier,fr,16,38,10,10,18,37,54,-17.0,40,1.05,,,,
2002-2003,83,Ajaccio,fr,17,38,9,12,17,29,49,-20.0,39,1.03,,,,
2002-2003,84,Le Havre,fr,18,38,10,8,20,27,47,-20.0,38,1.00,,,,
2002-2003,85,Sedan,fr,19,38,9,9,20,41,59,-18.0,36,0.95,,,,
2002-2003,86,Recreativo,es,18,38,8,12,18,35,61,-26.0,36,0.95,,,,
2002-2003,87,Alavés,es,19,38,8,11,19,38,68,-30.0,35,0.92,,,,
2002-2003,88,Piacenza,it,16,34,8,6,20,44,62,-18.0,30,0.88,,,,
2002-2003,89,Nürnberg,de,17,34,8,6,20,33,60,-27.0,30,0.88,,,,
2002-2003,90,Energie Cottbus,de,18,34,7,9,18,34,64,-30.0,30,0.88,,,,
2002-2003,91,Rayo Vallecano,es,20,38,7,11,20,31,62,-31.0,32,0.84,,,,
2002-2003,92,Troyes,fr,20,38,7,10,21,23,48,-25.0,31,0.82,,,,
2002-2003,93,Como,it,17,34,4,12,18,29,57,-28.0,24,0.71,,,,
2002-2003,94,West Brom,eng,19,38,6,8,24,29,65,-36.0,26,0.68,,,,
2002-2003,95,Torino,it,18,34,4,9,21,23,58,-35.0,21,0.62,,,,
2002-2003,96,Sunderland,eng,20,38,4,7,27,21,65,-44.0,19,0.50,,,,
2001-2002,1,Arsenal,eng,1,38,26,9,3,79,36,43.0,87,2.29,,,,
2001-2002,2,Liverpool,eng,2,38,24,8,6,67,30,37.0,80,2.11,,,,
2001-2002,3,Juventus,it,1,34,20,11,3,64,23,41.0,71,2.09,,,,
2001-2002,4,Roma,it,2,34,19,13,2,58,24,34.0,70,2.06,,,,
2001-2002,5,Dortmund,de,1,34,21,7,6,62,33,29.0,70,2.06,,,,
2001-2002,6,Manchester Utd,eng,3,38,24,5,9,87,45,42.0,77,2.03,,,,
2001-2002,7,Leverkusen,de,2,34,21,6,7,77,38,39.0,69,2.03,,,,
2001-2002,8,Inter,it,3,34,20,9,5,62,35,27.0,69,2.03,,,,
2001-2002,9,Bayern Munich,de,3,34,20,8,6,65,25,40.0,68,2.00,,,,
2001-2002,10,Valencia,es,1,38,21,12,5,51,27,24.0,75,1.97,,,,
2001-2002,11,Lyon,fr,1,34,20,6,8,62,32,30.0,66,1.94,,,,
2001-2002,12,Lens,fr,2,34,18,10,6,55,30,25.0,64,1.88,,,,
2001-2002,13,Newcastle Utd,eng,4,38,21,8,9,74,52,22.0,71,1.87,,,,
2001-2002,14,La Coruña,es,2,38,20,8,10,65,41,24.0,68,1.79,,,,
2001-2002,15,Hertha BSC,de,4,34,18,7,9,61,38,23.0,61,1.79,,,,
2001-2002,16,Schalke 04,de,5,34,18,7,9,52,36,16.0,61,1.79,,,,
2001-2002,17,Real Madrid,es,3,38,19,9,10,69,44,25.0,66,1.74,,,,
2001-2002,18,Leeds United,eng,5,38,18,12,8,53,37,16.0,66,1.74,,,,
2001-2002,19,Auxerre,fr,3,34,16,11,7,48,38,10.0,59,1.74,,,,
2001-2002,20,Paris S-G,fr,4,34,15,13,6,43,24,19.0,58,1.71,,,,
2001-2002,21,Chelsea,eng,6,38,17,13,8,66,38,28.0,64,1.68,,,,
2001-2002,22,Barcelona,es,4,38,18,10,10,65,37,28.0,64,1.68,,,,
2001-2002,23,Werder Bremen,de,6,34,17,5,12,54,43,11.0,56,1.65,,,,
2001-2002,24,Kaiserslautern,de,7,34,17,5,12,62,53,9.0,56,1.65,,,,
2001-2002,25,Lille,fr,5,34,15,11,8,39,32,7.0,56,1.65,,,,
2001-2002,26,Milan,it,4,34,14,13,7,47,33,14.0,55,1.62,,,,
2001-2002,27,Chievo,it,5,34,14,12,8,57,52,5.0,54,1.59,,,,
2001-2002,28,Celta Vigo,es,5,38,16,12,10,64,46,18.0,60,1.58,,,,
2001-2002,29,Lazio,it,6,34,14,11,9,50,37,13.0,53,1.56,,,,
2001-2002,30,Betis,es,6,38,15,14,9,42,34,8.0,59,1.55,,,,
2001-2002,31,Bologna,it,7,34,15,7,12,40,40,0.0,52,1.53,,,,
2001-2002,32,Stuttgart,de,8,34,13,11,10,47,43,4.0,50,1.47,,,,
2001-2002,33,Bordeaux,fr,6,34,14,8,12,34,31,3.0,50,1.47,,,,
2001-2002,34,1860 Munich,de,9,34,15,5,14,59,59,0.0,50,1.47,,,,
2001-2002,35,Alavés,es,7,38,17,3,18,41,44,-3.0,54,1.42,,,,
2001-2002,36,Sevilla,es,8,38,14,11,13,51,40,11.0,53,1.39,,,,
2001-2002,37,Málaga,es,10,38,13,14,11,44,44,0.0,53,1.39,,,,
2001-2002,38,West Ham,eng,7,38,15,8,15,48,57,-9.0,53,1.39,,,,
2001-2002,39,Athletic Club,es,9,38,14,11,13,54,66,-12.0,53,1.39,,,,
2001-2002,40,Troyes,fr,7,34,13,8,13,40,35,5.0,47,1.38,,,,
2001-2002,41,Wolfsburg,de,10,34,13,7,14,57,49,8.0,46,1.35,,,,
2001-2002,42,Sochaux,fr,8,34,12,10,12,41,40,1.0,46,1.35,,,,
2001-2002,43,Perugia,it,8,34,13,7,14,38,46,-8.0,46,1.35,,,,
2001-2002,44,Aston Villa,eng,8,38,12,14,12,46,47,-1.0,50,1.32,,,,
2001-2002,45,Tottenham,eng,9,38,14,8,16,49,53,-4.0,50,1.32,,,,
2001-2002,46,Atalanta,it,9,34,12,9,13,41,50,-9.0,45,1.32,,,,
2001-2002,47,Parma,it,10,34,12,8,14,43,47,-4.0,44,1.29,,,,
2001-2002,48,Marseille,fr,9,34,11,11,12,34,39,-5.0,44,1.29,,,,
2001-2002,49,Rayo Vallecano,es,11,38,13,10,15,46,52,-6.0,49,1.29,,,,
2001-2002,50,Torino,it,11,34,10,13,11,37,39,-2.0,43,1.26,,,,
2001-2002,51,Nantes,fr,10,34,12,7,15,35,41,-6.0,43,1.26,,,,
2001-2002,52,Valladolid,es,12,38,13,9,16,45,58,-13.0,48,1.26,,,,
2001-2002,53,Piacenza,it,12,34,11,9,14,49,43,6.0,42,1.24,,,,
2001-2002,54,Real Sociedad,es,13,38,13,8,17,48,54,-6.0,47,1.24,,,,
2001-2002,55,Espanyol,es,14,38,13,8,17,47,56,-9.0,47,1.24,,,,
2001-2002,56,Blackburn,eng,10,38,12,10,16,55,51,4.0,46,1.21,,,,
2001-2002,57,Bastia,fr,11,34,12,5,17,38,44,-6.0,41,1.21,,,,
2001-2002,58,Rennes,fr,12,34,11,8,15,40,51,-11.0,41,1.21,,,,
2001-2002,59,Montpellier,fr,13,34,9,13,12,28,31,-3.0,40,1.18,,,,
2001-2002,60,Hamburger SV,de,11,34,10,10,14,51,57,-6.0,40,1.18,,,,
2001-2002,61,Southampton,eng,11,38,12,9,17,46,54,-8.0,45,1.18,,,,
2001-2002,62,Brescia,it,13,34,9,13,12,43,52,-9.0,40,1.18,,,,
2001-2002,63,Udinese,it,14,34,11,7,16,41,52,-11.0,40,1.18,,,,
2001-2002,64,Middlesbrough,eng,12,38,12,9,17,35,47,-12.0,45,1.18,,,,
2001-2002,65,Fulham,eng,13,38,10,14,14,36,44,-8.0,44,1.16,,,,
2001-2002,66,Charlton Ath,eng,14,38,10,14,14,38,49,-11.0,44,1.16,,,,
2001-2002,67,Sedan,fr,14,34,8,15,11,35,39,-4.0,39,1.15,,,,
2001-2002,68,Monaco,fr,15,34,9,12,13,36,41,-5.0,39,1.15,,,,
2001-2002,69,Hellas Verona,it,15,34,11,6,17,41,53,-12.0,39,1.15,,,,
2001-2002,70,M'Gladbach,de,12,34,9,12,13,41,53,-12.0,39,1.15,,,,
2001-2002,71,Villarreal,es,15,38,11,10,17,46,55,-9.0,43,1.13,,,,
2001-2002,72,Mallorca,es,16,38,11,10,17,40,52,-12.0,43,1.13,,,,
2001-2002,73,Everton,eng,15,38,11,10,17,45,57,-12.0,43,1.13,,,,
2001-2002,74,Osasuna,es,17,38,10,12,16,36,49,-13.0,42,1.11,,,,
2001-2002,75,Las Palmas,es,18,38,9,13,16,40,50,-10.0,40,1.05,,,,
2001-2002,76,Bolton,eng,16,38,9,13,16,44,62,-18.0,40,1.05,,,,
2001-2002,77,Sunderland,eng,17,38,10,10,18,29,51,-22.0,40,1.05,,,,
2001-2002,78,Guingamp,fr,16,34,9,8,17,34,57,-23.0,35,1.03,,,,
2001-2002,79,Energie Cottbus,de,13,34,9,8,17,36,60,-24.0,35,1.03,,,,
2001-2002,80,Hansa Rostock,de,14,34,9,7,18,35,54,-19.0,34,1.00,,,,
2001-2002,81,Nürnberg,de,15,34,10,4,20,34,57,-23.0,34,1.00,,,,
2001-2002,82,Tenerife,es,19,38,10,8,20,32,58,-26.0,38,1.00,,,,
2001-2002,83,Metz,fr,17,34,9,6,19,31,47,-16.0,33,0.97,,,,
2001-2002,84,Zaragoza,es,20,38,9,10,19,35,54,-19.0,37,0.97,,,,
2001-2002,85,Ipswich Town,eng,18,38,9,9,20,41,64,-23.0,36,0.95,,,,
2001-2002,86,Lorient,fr,18,34,7,10,17,43,64,-21.0,31,0.91,,,,
2001-2002,87,Freiburg,de,16,34,7,9,18,37,64,-27.0,30,0.88,,,,
2001-2002,88,Köln,de,17,34,7,8,19,26,61,-35.0,29,0.85,,,,
2001-2002,89,Lecce,it,16,34,6,10,18,36,56,-20.0,28,0.82,,,,
2001-2002,90,Derby County,eng,19,38,8,6,24,33,63,-30.0,30,0.79,,,,
2001-2002,91,Leicester City,eng,20,38,5,13,20,30,64,-34.0,28,0.74,,,,
2001-2002,92,St. Pauli,de,18,34,4,10,20,37,70,-33.0,22,0.65,,,,
2001-2002,93,Fiorentina,it,17,34,5,7,22,29,63,-34.0,22,0.65,,,,
2001-2002,94,Venezia,it,18,34,3,9,22,30,61,-31.0,18,0.53,,,,
2000-2001,1,Roma,it,1,34,22,9,3,68,33,35.0,75,2.21,,,,
2000-2001,2,Juventus,it,2,34,21,10,3,61,27,34.0,73,2.15,,,,
2000-2001,3,Manchester Utd,eng,1,38,24,8,6,79,31,48.0,80,2.11,,,,
2000-2001,4,Real Madrid,es,1,38,24,8,6,81,40,41.0,80,2.11,,,,
2000-2001,5,Lazio,it,3,34,21,6,7,65,36,29.0,69,2.03,,,,
2000-2001,6,Nantes,fr,1,34,21,5,8,58,36,22.0,68,2.00,,,,
2000-2001,7,La Coruña,es,2,38,22,7,9,73,44,29.0,73,1.92,,,,
2000-2001,8,Lyon,fr,2,34,17,13,4,57,30,27.0,64,1.88,,,,
2000-2001,9,Mallorca,es,3,38,20,11,7,61,43,18.0,71,1.87,,,,
2000-2001,10,Bayern Munich,de,1,34,19,6,9,62,37,25.0,63,1.85,,,,
2000-2001,11,Arsenal,eng,2,38,20,10,8,63,38,25.0,70,1.84,,,,
2000-2001,12,Liverpool,eng,3,38,20,9,9,71,39,32.0,69,1.82,,,,
2000-2001,13,Schalke 04,de,2,34,18,8,8,65,35,30.0,62,1.82,,,,
2000-2001,14,Leeds United,eng,4,38,20,8,10,64,43,21.0,68,1.79,,,,
2000-2001,15,Lille,fr,3,34,16,11,7,43,27,16.0,59,1.74,,,,
2000-2001,16,Ipswich Town,eng,5,38,20,6,12,57,42,15.0,66,1.74,,,,
2000-2001,17,Dortmund,de,3,34,16,10,8,62,42,20.0,58,1.71,,,,
2000-2001,18,Bordeaux,fr,4,34,15,12,7,48,32,16.0,57,1.68,,,,
2000-2001,19,Leverkusen,de,4,34,17,6,11,54,40,14.0,57,1.68,,,,
2000-2001,20,Barcelona,es,4,38,17,12,9,80,57,23.0,63,1.66,,,,
2000-2001,21,Valencia,es,5,38,18,9,11,55,34,21.0,63,1.66,,,,
2000-2001,22,Parma,it,4,34,16,8,10,51,31,20.0,56,1.65,,,,
2000-2001,23,Hertha BSC,de,5,34,18,2,14,58,52,6.0,56,1.65,,,,
2000-2001,24,Freiburg,de,6,34,15,10,9,54,37,17.0,55,1.62,,,,
2000-2001,25,Chelsea,eng,6,38,17,10,11,68,45,23.0,61,1.61,,,,
2000-2001,26,Werder Bremen,de,7,34,15,8,11,53,48,5.0,53,1.56,,,,
2000-2001,27,Celta Vigo,es,6,38,16,11,11,51,49,2.0,59,1.55,,,,
2000-2001,28,Sedan,fr,5,34,14,10,10,47,40,7.0,52,1.53,,,,
2000-2001,29,Villarreal,es,7,38,16,9,13,58,52,6.0,57,1.50,,,,
2000-2001,30,Sunderland,eng,7,38,15,12,11,46,41,5.0,57,1.50,,,,
