Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Eren Dinkçi,de GER,"FW,MF",20.0,17,0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,5.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.17,0.24,0.41,0.17,0.41,Matches,/en/players/4ccd8957/Eren-Dinkci,4ccd8957,Werder Bremen
Nicolai Rapp,de GER,"MF,DF",25.0,7,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,/en/players/c8b3a472/Nicolai-Rapp,c8b3a472,Werder Bremen
Felix Agu,de GER,"DF,FW",22.0,3,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22,Matches,/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Werder Bremen
Jean-Manuel Mbom,de GER,MF,22.0,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/1a5d7cb9/Jean-Manuel-Mbom,1a5d7cb9,Werder Bremen
Dikeni Salifou,tg TOG,MF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/e1830c52/Dikeni-Salifou,e1830c52,Werder Bremen
Tom Berger,de GER,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/7ffce688/Tom-Berger,7ffce688,Werder Bremen
Tim-Justin Dietrich,de GER,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/d2a40856/Tim-Justin-Dietrich,d2a40856,Werder Bremen
Benjamin Goller,de GER,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/d5980989/Benjamin-Goller,d5980989,Werder Bremen
Eduardo Dos Santos Haesler,de GER,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/1b9a46d1/Eduardo-Dos-Santos-Haesler,1b9a46d1,Werder Bremen
Nick Woltemade,de GER,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/7ca196eb/Nick-Woltemade,7ca196eb,Werder Bremen
Oliver Baumann,de GER,GK,32.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/47064058/Oliver-Baumann,47064058,Hoffenheim
Christoph Baumgartner,at AUT,"MF,FW",22.0,33,33,2567.0,28.5,7.0,3.0,10.0,7.0,0.0,0.0,7.0,0.0,7.1,7.1,4.3,11.4,76.0,100.0,145.0,0.25,0.11,0.35,0.25,0.35,0.25,0.15,0.4,0.25,0.4,Matches,/en/players/437f2b00/Christoph-Baumgartner,437f2b00,Hoffenheim
Angeliño,es ESP,DF,25.0,33,30,2617.0,29.1,0.0,8.0,8.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,7.2,8.3,24.0,108.0,120.0,0.0,0.28,0.28,0.0,0.28,0.04,0.25,0.28,0.04,0.28,Matches,/en/players/30941e96/Angelino,30941e96,Hoffenheim
Ozan Kabak,tr TUR,DF,22.0,30,28,2388.0,26.5,2.0,2.0,4.0,2.0,0.0,0.0,12.0,2.0,1.3,1.3,1.3,2.6,23.0,76.0,13.0,0.08,0.08,0.15,0.08,0.15,0.05,0.05,0.1,0.05,0.1,Matches,/en/players/2d61d13a/Ozan-Kabak,2d61d13a,Hoffenheim
Dennis Geiger,de GER,MF,24.0,27,27,1952.0,21.7,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,0.2,0.2,2.7,2.9,21.0,99.0,22.0,0.05,0.14,0.18,0.05,0.18,0.01,0.12,0.13,0.01,0.13,Matches,/en/players/37f606f0/Dennis-Geiger,37f606f0,Hoffenheim
Andrej Kramarić,hr CRO,"MF,FW",31.0,32,26,2386.0,26.5,12.0,4.0,16.0,8.0,4.0,6.0,3.0,0.0,13.2,8.5,2.2,10.7,49.0,100.0,191.0,0.45,0.15,0.6,0.3,0.45,0.5,0.08,0.58,0.32,0.4,Matches,/en/players/603cb947/Andrej-Kramaric,603cb947,Hoffenheim
Kevin Vogt,de GER,DF,30.0,22,22,1775.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.4,0.4,16.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,/en/players/1d8e9add/Kevin-Vogt,1d8e9add,Hoffenheim
Kevin Akpoguma,ng NGA,DF,27.0,28,21,1950.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,0.5,1.2,17.0,85.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Hoffenheim
Pavel Kadeřábek,cz CZE,DF,30.0,26,17,1665.0,18.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.7,3.1,30.0,61.0,114.0,0.05,0.05,0.11,0.05,0.11,0.07,0.09,0.17,0.07,0.17,Matches,/en/players/79c90e45/Pavel-Kaderabek,79c90e45,Hoffenheim
Grischa Prömel,de GER,MF,27.0,18,17,1454.0,16.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.5,2.5,1.1,3.6,19.0,39.0,46.0,0.06,0.06,0.12,0.06,0.12,0.16,0.07,0.22,0.16,0.22,Matches,/en/players/924f9191/Grischa-Promel,924f9191,Hoffenheim
Ihlas Bebou,tg TOG,"FW,DF",28.0,19,17,1416.0,15.7,7.0,0.0,7.0,6.0,1.0,1.0,2.0,0.0,4.6,3.8,1.0,4.8,27.0,23.0,116.0,0.44,0.0,0.44,0.38,0.38,0.29,0.06,0.36,0.24,0.31,Matches,/en/players/a53b661f/Ihlas-Bebou,a53b661f,Hoffenheim
Robert Skov,dk DEN,DF,26.0,23,16,1349.0,15.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,3.4,1.8,1.8,3.6,43.0,49.0,97.0,0.2,0.13,0.33,0.07,0.2,0.23,0.12,0.34,0.12,0.24,Matches,/en/players/ff98492b/Robert-Skov,ff98492b,Hoffenheim
John Brooks,us USA,DF,29.0,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,/en/players/e27da244/John-Brooks,e27da244,Hoffenheim
Stanley N'Soki,fr FRA,DF,23.0,19,14,1286.0,14.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.5,0.5,0.3,0.8,17.0,64.0,10.0,0.07,0.0,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06,Matches,/en/players/61590953/Stanley-NSoki,61590953,Hoffenheim
Georginio Rutter,fr FRA,FW,20.0,15,11,1009.0,11.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,2.3,5.4,32.0,25.0,75.0,0.18,0.18,0.36,0.18,0.36,0.27,0.21,0.48,0.27,0.48,Matches,/en/players/c64c01fc/Georginio-Rutter,c64c01fc,Hoffenheim
Moanes Dabbur,il ISR,FW,30.0,21,8,933.0,10.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,1.0,3.5,3.5,2.2,5.7,10.0,33.0,61.0,0.58,0.19,0.77,0.58,0.77,0.34,0.21,0.55,0.34,0.55,Matches,/en/players/eac044ad/Moanes-Dabbur,eac044ad,Hoffenheim
Sebastian Rudy,de GER,MF,32.0,22,6,794.0,8.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,0.9,7.0,42.0,7.0,0.0,0.11,0.11,0.0,0.11,0.02,0.09,0.11,0.02,0.11,Matches,/en/players/80f36c88/Sebastian-Rudy,80f36c88,Hoffenheim
Angelo Stiller,de GER,MF,21.0,20,6,704.0,7.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,4.0,34.0,16.0,0.13,0.13,0.26,0.13,0.26,0.04,0.06,0.1,0.04,0.1,Matches,/en/players/3b1ed320/Angelo-Stiller,3b1ed320,Hoffenheim
Finn Ole Becker,de GER,MF,22.0,13,6,513.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,6.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches,/en/players/dd2e62da/Finn-Ole-Becker,dd2e62da,Hoffenheim
Kasper Dolberg,dk DEN,"FW,MF",24.0,13,4,402.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,4.0,4.0,20.0,0.22,0.0,0.22,0.22,0.22,0.11,0.1,0.21,0.11,0.21,Matches,/en/players/cc83b74d/Kasper-Dolberg,cc83b74d,Hoffenheim
Thomas Delaney,dk DEN,MF,30.0,6,4,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,/en/players/fe641c1a/Thomas-Delaney,fe641c1a,Hoffenheim
Jacob Bruun Larsen,dk DEN,FW,23.0,12,3,328.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.7,10.0,4.0,24.0,0.27,0.0,0.27,0.27,0.27,0.36,0.11,0.47,0.36,0.47,Matches,/en/players/4e204552/Jacob-Bruun-Larsen,4e204552,Hoffenheim
Tom Bischof,de GER,"MF,FW",17.0,11,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.8,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21,0.5,0.29,0.5,Matches,/en/players/07d3bfec/Tom-Bischof,07d3bfec,Hoffenheim
Umut Tohumcu,de GER,"MF,DF",17.0,8,2,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,/en/players/e547d3cf/Umut-Tohumcu,e547d3cf,Hoffenheim
Muhammed Damar,de GER,MF,18.0,6,1,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches,/en/players/d3d77413/Muhammed-Damar,d3d77413,Hoffenheim
Eduardo Quaresma,pt POR,DF,20.0,4,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/7ec723b7/Eduardo-Quaresma,7ec723b7,Hoffenheim
Diadie Samassékou,ml MLI,"MF,FW",26.0,2,1,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/08593525/Diadie-Samassekou,08593525,Hoffenheim
Stefan Posch,at AUT,DF,25.0,1,1,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/7f609bfc/Stefan-Posch,7f609bfc,Hoffenheim
Ermin Bičakčić,ba BIH,DF,32.0,9,0,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,/en/players/7aac47fe/Ermin-Bicakcic,7aac47fe,Hoffenheim
Fisnik Asllani,xk KVX,FW,19.0,8,0,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.2,1.8,4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.88,0.1,0.98,0.88,0.98,Matches,/en/players/35f67a30/Fisnik-Asllani,35f67a30,Hoffenheim
Joshua Quarshie,de GER,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/3c200e05/Joshua-Quarshie,3c200e05,Hoffenheim
Justin Che,us USA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/3c569f37/Justin-Che,3c569f37,Hoffenheim
Nahuel Noll,de GER,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/c7d84763/Nahuel-Noll,c7d84763,Hoffenheim
Philipp Pentke,de GER,GK,37.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/c41f7379/Philipp-Pentke,c41f7379,Hoffenheim
Luca Philipp,de GER,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/eb3e717e/Luca-Philipp,eb3e717e,Hoffenheim
Max Kilman,eng ENG,DF,25.0,37,37,3307.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,0.2,1.6,30.0,127.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,/en/players/d0f72bf1/Max-Kilman,d0f72bf1,Wolves
José Sá,pt POR,GK,29.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/903b6e8b/Jose-Sa,903b6e8b,Wolves
Rúben Neves,pt POR,MF,25.0,35,33,3019.0,33.5,6.0,1.0,7.0,3.0,3.0,3.0,12.0,0.0,5.2,2.8,1.6,4.4,28.0,218.0,18.0,0.18,0.03,0.21,0.09,0.12,0.15,0.05,0.2,0.08,0.13,Matches,/en/players/44bfb6c5/Ruben-Neves,44bfb6c5,Wolves
Nélson Semedo,pt POR,DF,28.0,36,31,2632.0,29.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.4,0.4,0.7,1.2,50.0,110.0,147.0,0.0,0.03,0.03,0.0,0.03,0.01,0.03,0.04,0.01,0.04,Matches,/en/players/d04b94db/Nelson-Semedo,d04b94db,Wolves
Matheus Nunes,pt POR,MF,23.0,34,30,2467.0,27.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.4,2.4,2.2,4.7,59.0,84.0,129.0,0.04,0.04,0.07,0.04,0.07,0.09,0.08,0.17,0.09,0.17,Matches,/en/players/e6af02e0/Matheus-Nunes,e6af02e0,Wolves
João Moutinho,pt POR,MF,35.0,31,20,1780.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,2.6,3.9,23.0,132.0,32.0,0.0,0.1,0.1,0.0,0.1,0.07,0.13,0.2,0.07,0.2,Matches,/en/players/f5a00fa4/Joao-Moutinho,f5a00fa4,Wolves
Daniel Podence,pt POR,"FW,MF",26.0,32,20,1771.0,19.7,6.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,3.9,3.9,2.5,6.4,43.0,95.0,148.0,0.3,0.0,0.3,0.3,0.3,0.2,0.13,0.33,0.2,0.33,Matches,/en/players/7fcc71d8/Daniel-Podence,7fcc71d8,Wolves
Nathan Collins,ie IRL,DF,21.0,26,19,1814.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.1,0.3,11.0,64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches,/en/players/a8c19eb8/Nathan-Collins,a8c19eb8,Wolves
Craig Dawson,eng ENG,DF,32.0,17,17,1414.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,5.0,44.0,1.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,Matches,/en/players/3e9e06cb/Craig-Dawson,3e9e06cb,Wolves
Mario Lemina,ga GAB,MF,28.0,19,17,1299.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.3,0.6,6.0,42.0,9.0,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04,Matches,/en/players/2b471f99/Mario-Lemina,2b471f99,Wolves
Hugo Bueno,es ESP,DF,19.0,21,16,1310.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.3,1.5,52.0,39.0,64.0,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.1,0.01,0.1,Matches,/en/players/bfc3b3a0/Hugo-Bueno,bfc3b3a0,Wolves
Diego Costa,es ESP,FW,33.0,23,16,1241.0,13.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,3.2,3.2,0.7,3.9,19.0,13.0,60.0,0.07,0.0,0.07,0.07,0.07,0.23,0.05,0.28,0.23,0.28,Matches,/en/players/a190d597/Diego-Costa,a190d597,Wolves
Jonny Castro,es ESP,DF,28.0,18,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,1.0,1.3,24.0,70.0,46.0,0.07,0.0,0.07,0.07,0.07,0.02,0.07,0.1,0.02,0.1,Matches,/en/players/e28868f3/Jonny-Castro,e28868f3,Wolves
Pedro Neto,pt POR,"FW,MF",22.0,18,13,964.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,2.1,3.2,37.0,24.0,111.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.3,Matches,/en/players/7ba2eaa9/Pedro-Neto,7ba2eaa9,Wolves
Adama Traoré,es ESP,"FW,MF",26.0,34,12,1496.0,16.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,3.7,5.1,85.0,36.0,156.0,0.12,0.06,0.18,0.12,0.18,0.08,0.23,0.31,0.08,0.31,Matches,/en/players/9a28eba4/Adama-Traore,9a28eba4,Wolves
Hwang Hee-chan,kr KOR,"FW,MF",26.0,27,12,1130.0,12.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,1.1,4.0,25.0,30.0,60.0,0.24,0.08,0.32,0.24,0.32,0.23,0.09,0.32,0.23,0.32,Matches,/en/players/169fd162/Hwang-Hee-chan,169fd162,Wolves
Matheus Cunha,br BRA,FW,23.0,17,12,965.0,10.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.6,2.6,16.0,14.0,43.0,0.19,0.0,0.19,0.19,0.19,0.19,0.05,0.24,0.19,0.24,Matches,/en/players/dc62b55d/Matheus-Cunha,dc62b55d,Wolves
Toti Gomes,pt POR,DF,23.0,17,10,984.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.7,4.0,27.0,23.0,0.09,0.0,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06,Matches,/en/players/f0caab96/Toti-Gomes,f0caab96,Wolves
Rayan Aït Nouri,dz ALG,DF,21.0,21,9,1076.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,1.0,1.7,30.0,43.0,76.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches,/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Wolves
Pablo Sarabia,es ESP,"FW,MF",30.0,13,9,765.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.1,3.1,0.8,3.9,17.0,41.0,54.0,0.12,0.0,0.12,0.12,0.12,0.36,0.09,0.46,0.36,0.46,Matches,/en/players/9744ff80/Pablo-Sarabia,9744ff80,Wolves
Raúl Jiménez,mx MEX,FW,31.0,15,8,846.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,1.7,4.3,5.0,14.0,45.0,0.0,0.11,0.11,0.0,0.11,0.27,0.18,0.46,0.27,0.46,Matches,/en/players/b561db50/Raul-Jimenez,b561db50,Wolves
Gonçalo Guedes,pt POR,"FW,MF",25.0,13,8,707.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.5,1.7,20.0,16.0,54.0,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22,Matches,/en/players/e6bc67d7/Goncalo-Guedes,e6bc67d7,Wolves
João Gomes,br BRA,MF,21.0,11,7,653.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,0.4,7.0,19.0,8.0,0.14,0.0,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06,Matches,/en/players/8b57ad2c/Joao-Gomes,8b57ad2c,Wolves
Boubacar Traoré,ml MLI,MF,20.0,10,4,411.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.2,4.0,8.0,2.0,0.0,0.22,0.22,0.0,0.22,0.01,0.04,0.05,0.01,0.05,Matches,/en/players/999ceb5f/Boubacar-Traore,999ceb5f,Wolves
Leander Dendoncker,be BEL,MF,27.0,4,2,214.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29,Matches,/en/players/5a7301ae/Leander-Dendoncker,5a7301ae,Wolves
Daniel Bentley,eng ENG,GK,29.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/68db6358/Daniel-Bentley,68db6358,Wolves
Morgan Gibbs-White,eng ENG,"FW,MF",22.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.4,0.36,0.4,Matches,/en/players/32f60ed8/Morgan-Gibbs-White,32f60ed8,Wolves
Joseph Hodge,ie IRL,MF,19.0,6,1,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.16,0.13,0.16,Matches,/en/players/bd8a5d95/Joseph-Hodge,bd8a5d95,Wolves
Sasa Kalajdzic,at AUT,FW,25.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches,/en/players/15f24fe7/Sasa-Kalajdzic,15f24fe7,Wolves
Chem Campbell,wls WAL,"FW,MF",19.0,5,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,/en/players/6f711f67/Chem-Campbell,6f711f67,Wolves
Dexter Lembikisa,jm JAM,DF,18.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/0bdda685/Dexter-Lembikisa,0bdda685,Wolves
Connor Ronan,ie IRL,MF,24.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/1b804500/Connor-Ronan,1b804500,Wolves
Willy Boly,ci CIV,DF,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/a4ac4b8f/Willy-Boly,a4ac4b8f,Wolves
Conor Coady,eng ENG,"DF,MF",29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/2928dca2/Conor-Coady,2928dca2,Wolves
Luke Cundle,eng ENG,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/cc3b8e78/Luke-Cundle,cc3b8e78,Wolves
Nathan Fraser,ie IRL,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/00b77ecf/Nathan-Fraser,00b77ecf,Wolves
Harvey Griffiths,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/6e4cb264/Harvey-Griffiths,6e4cb264,Wolves
Yerson Mosquera,co COL,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/1e159d70/Yerson-Mosquera,1e159d70,Wolves
Matija Šarkić,me MNE,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,/en/players/a89e7b29/Matija-Sarkic,a89e7b29,Wolves
Fernando,es ESP,GK,32.0,37,37,3285.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/dabb2827/Fernando,dabb2827,Almería
Rodrigo Ely,br BRA,DF,28.0,36,36,3155.0,35.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.8,1.8,6.0,52.0,4.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches,/en/players/fd47b4f2/Rodrigo-Ely,fd47b4f2,Almería
Lucas Robertone,ar ARG,MF,25.0,37,34,2843.0,31.6,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,2.6,2.6,6.6,9.2,47.0,155.0,97.0,0.06,0.22,0.28,0.06,0.28,0.08,0.21,0.29,0.08,0.29,Matches,/en/players/a8981944/Lucas-Robertone,a8981944,Almería
