Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Sofiane Boufal,ma MAR,"FW,MF",28.0,13,9,834.0,9.3,4.0,3.0,7.0,2.0,2.0,2.0,3.0,1.0,3.6,2.1,2.9,5.0,49.0,56.0,94.0,0.43,0.32,0.76,0.22,0.54,0.39,0.32,0.71,0.22,0.54,Matches,/en/players/b0c71810/Sofiane-Boufal,b0c71810,Angers
Farid El Melali,dz ALG,"DF,FW",25.0,17,9,806.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.2,1.3,42.0,24.0,54.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches,/en/players/d21e361a/Farid-El-Melali,d21e361a,Angers
Halid Šabanović,ba BIH,DF,22.0,15,8,638.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.9,0.9,0.0,1.0,5.0,20.0,30.0,0.28,0.0,0.28,0.28,0.28,0.13,0.01,0.14,0.13,0.14,Matches,/en/players/8299e363/Halid-Sabanovic,8299e363,Angers
Justin-Noël Kalumba,fr FRA,DF,17.0,7,7,546.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,/en/players/32e2163d/Justin-Noel-Kalumba,32e2163d,Angers
Ousmane Camara,fr FRA,DF,19.0,9,6,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,/en/players/7d3dfdfd/Ousmane-Camara,7d3dfdfd,Angers
Faouzi Ghoulam,dz ALG,DF,31.0,7,6,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.8,4.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.16,0.01,0.16,Matches,/en/players/c5adc293/Faouzi-Ghoulam,c5adc293,Angers
Lois Diony,fr FRA,FW,29.0,11,5,506.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,0.3,2.5,14.0,11.0,64.0,0.18,0.0,0.18,0.18,0.18,0.39,0.06,0.45,0.39,0.45,Matches,/en/players/4be0b467/Lois-Diony,4be0b467,Angers
Ibrahim Amadou,fr FRA,"DF,MF",29.0,7,4,424.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches,/en/players/9260926b/Ibrahim-Amadou,9260926b,Angers
Jean Mattéo Bahoya,fr FRA,"FW,MF",17.0,10,2,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,9.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.29,0.17,0.29,Matches,/en/players/70d4c949/Jean-Matteo-Bahoya,70d4c949,Angers
Ilyes Cheti,dz ALG,DF,27.0,6,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,/en/players/9d498560/Ilyes-Cheti,9d498560,Angers
