id,futbin_name,ustat_name,score
209519,Gaëtan Laborde,Gaetan Laborde,92.85714285714286
238067,Nicolò Zaniolo,Nicolo Zaniolo,92.85714285714286
210406,Piotr Zieliński,Piotr Zielinski,93.33333333333333
227290,Marko Dmitrović,Marko Dmitrovic,93.33333333333333
226754,Ismaël Bennacer,Ismael Bennacer,93.33333333333333
194333,Rafał Gikiewicz,Rafal Gikiewicz,93.33333333333333
203605,Pavel Kadeřábek,Pavel Kaderábek,93.33333333333333
225263,Duje Ćaleta-Car,Duje Caleta-Car,93.33333333333333
143076,Alejandro Gómez,Alejandro Gomez,93.33333333333333
220440,Clément Lenglet,Clement Lenglet,93.33333333333333
242641,Rayan Aït Nouri,Rayan Ait Nouri,93.33333333333333
225859,Moussa Niakhaté,Moussa Niakhate,93.33333333333333
253157,Hicham Boudaoui,Hichem Boudaoui,93.33333333333333
257889,Kristijan Jakić,Kristijan Jakic,93.33333333333333
220407,Martin Dúbravka,Martin Dubravka,93.33333333333333
225859,Moussa Niakhaté,Moussa Niakhate,93.33333333333333
220407,Martin Dúbravka,Martin Dubravka,93.33333333333333
222665,Martin Ødegaard,Martin Odegaard,93.33333333333333
215441,Serhou Guirassy,Sehrou Guirassy,93.33333333333333
216354,Andrej Kramarić,Andrej Kramaric,93.33333333333333
215441,Serhou Guirassy,Sehrou Guirassy,93.33333333333333
201262,Vladimír Darida,Vladimir Darida,93.33333333333333
244470,Vladimír Coufal,Vladimir Coufal,93.33333333333333
201269,Frederik Rønnow,Frederik Rönnow,93.33333333333333
225995,Petar Stojanović,Petar Stojanovic,93.75
239732,Szymon Żurkowski,Szymon Zurkowski,93.75
213404,Paweł Dawidowicz,Pawel Dawidowicz,93.75
236496,Mattéo Guendouzi,Matteo Guendouzi,93.75
241727,Predrag Rajković,Predrag Rajkovic,93.75
184200,Marko Arnautović,Marko Arnautovic,93.75
245741,Jesper Lindstrøm,Jesper Lindstrom,93.75
189908,Łukasz Skorupski,Lukasz Skorupski,93.75
239817,Boubakary Soumaré,Boubakary Soumare,94.11764705882354
238095,Nikola Milenković,Nikola Milenkovic,94.11764705882354
202811,Emiliano Martínez,Emiliano Martinez,94.11764705882354
244380,Vitaliy Mykolenko,Vitalii Mykolenko,94.11764705882354
235424,Diadié Samassékou,Diadie Samassékou,94.11764705882354
