,index,Season,Team,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xGdiff,xA,xAdiff,xG90,xA90
0,0,2021.0,Manchester City,Kevin De Bruyne,M,30.0,2214.0,15.0,8.0,3.17,3.54,5.95,-9.05,11.26,3.26,0.24,0.46
1,0,2021.0,Manchester City,Raheem Sterling,F M,30.0,2119.0,13.0,5.0,2.46,1.78,15.78,2.78,5.02,0.02,0.67,0.21
2,0,2021.0,Manchester City,Riyad Mahrez,F M,28.0,1468.0,11.0,5.0,3.74,2.45,10.12,-0.88,3.93,-1.07,0.62,0.24
3,0,2021.0,Manchester City,Phil Foden,F M,28.0,2141.0,9.0,5.0,2.4,1.68,9.26,0.26,6.83,1.83,0.39,0.29
4,0,2021.0,Manchester City,Ilkay Gündogan,M,27.0,1852.0,8.0,4.0,2.67,1.8,9.72,1.72,4.72,0.72,0.47,0.23
5,0,2021.0,Manchester City,Bernardo Silva,F M,35.0,2865.0,8.0,4.0,1.51,1.85,7.77,-0.23,6.57,2.57,0.24,0.21
6,0,2021.0,Manchester City,Gabriel Jesus,F M,28.0,1885.0,8.0,8.0,3.06,1.81,10.15,2.15,5.91,-2.09,0.48,0.28
7,0,2021.0,Manchester City,Rodri,M,33.0,2901.0,7.0,2.0,1.4,0.84,2.72,-4.28,1.55,-0.45,0.08,0.05
8,0,2021.0,Manchester City,Aymeric Laporte,D,33.0,2848.0,4.0,0.0,1.11,0.28,4.45,0.45,0.61,0.61,0.14,0.02
9,0,2021.0,Manchester City,Jack Grealish,F M,26.0,1929.0,3.0,3.0,2.05,2.43,5.53,2.53,5.46,2.46,0.26,0.25
10,0,2021.0,Manchester City,Nathan Aké,D,14.0,920.0,2.0,0.0,0.49,0.2,1.3,-0.7,0.62,0.62,0.13,0.06
11,0,2021.0,Manchester City,Fernandinho,D M,19.0,943.0,2.0,1.0,1.72,0.95,1.61,-0.39,1.34,0.34,0.15,0.13
12,0,2021.0,Manchester City,Ferrán Torres,F,4.0,308.0,2.0,1.0,3.8,0.29,2.51,0.51,0.02,-0.98,0.73,0.01
13,0,2021.0,Manchester City,Rúben Dias,D,29.0,2403.0,2.0,4.0,0.67,0.6,2.54,0.54,3.16,-0.84,0.09,0.12
